candidate_id,mechanism_id,execution,delay_seconds,cost_bp_side,orders,events,sessions,symbols,filled,fill_rate,coverage,cagr,total_return,sharpe,max_dd,pt_days,positive_day_rate
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,-1.0,8032,4016,251,100,1092,0.1359561752988047,0.8007968127490039,0.0577446274529918,0.0577039843919204,1.259881527254554,-0.0285040738524545,186,0.3904382470119522
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,-0.5,8032,4016,251,100,1092,0.1359561752988047,0.8007968127490039,0.0386651750912481,0.0386382054065128,0.8613633057069345,-0.038462314653316,186,0.3784860557768924
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,0.0,8032,4016,251,100,1092,0.1359561752988047,0.8007968127490039,0.019927328373579,0.0199135539479657,0.4599514841712199,-0.0483197247537759,186,0.3665338645418327
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,1.0,8032,4016,251,100,1092,0.1359561752988047,0.8007968127490039,-0.0165477244649149,-0.0165364923341354,-0.3488749889156066,-0.0677360764873841,186,0.3386454183266932
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,3.0,8032,4016,251,100,1092,0.1359561752988047,0.8007968127490039,-0.0856586093803274,-0.0856025635642939,-1.970915173033424,-0.1067947039703904,197,0.298804780876494
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,5.0,8032,4016,251,100,1092,0.1359561752988047,0.8007968127490039,-0.1499468642778302,-0.1498523370592229,-3.561252445445655,-0.1529387889022293,302,0.2629482071713147
S02_range_location__passive__d5,S02_range_location,passive,5,-1.0,8032,4016,251,104,466,0.0580179282868525,0.7785109561752988,0.0166501175247075,0.0166386268519553,1.365143421458922,-0.0056455952105867,13,0.3426294820717131
S02_range_location__passive__d5,S02_range_location,passive,5,-0.5,8032,4016,251,104,466,0.0580179282868525,0.7785109561752988,0.0127073119501406,0.012698559277487,1.0453276469104251,-0.0058781823190282,20,0.3346613545816733
S02_range_location__passive__d5,S02_range_location,passive,5,0.0,8032,4016,251,104,466,0.0580179282868525,0.7785109561752988,0.0087796642847661,0.0087736286469448,0.7251564230309697,-0.0061270249396057,20,0.3107569721115538
S02_range_location__passive__d5,S02_range_location,passive,5,1.0,8032,4016,251,104,466,0.0580179282868525,0.7785109561752988,0.0009696118439508,0.0009689478593897,0.0856178933717551,-0.0068001945078851,34,0.298804780876494
S02_range_location__passive__d5,S02_range_location,passive,5,3.0,8032,4016,251,104,466,0.0580179282868525,0.7785109561752988,-0.0144711251683381,-0.0144612921900068,-1.1774775795351942,-0.0166994540072071,314,0.250996015936255
S02_range_location__passive__d5,S02_range_location,passive,5,5.0,8032,4016,251,104,466,0.0580179282868525,0.7785109561752988,-0.0296757280731736,-0.0296557203499923,-2.396869501828648,-0.0308250922742319,358,0.2151394422310757
S03_opening_continuation_q95__passive__d5,S03_opening_continuation,passive,5,-1.0,8094,2470,130,86,256,0.0316283666913763,0.6475166790214975,0.0180602148401711,0.0180477424131479,1.350111384070363,-0.00230285631139,13,0.1314741035856573
S03_opening_continuation_q95__passive__d5,S03_opening_continuation,passive,5,-0.5,8094,2470,130,86,256,0.0316283666913763,0.6475166790214975,0.0157511865486472,0.0157403210419038,1.2000528962861603,-0.0024360007513593,13,0.1195219123505976
S03_opening_continuation_q95__passive__d5,S03_opening_continuation,passive,5,0.0,8094,2470,130,86,256,0.0316283666913763,0.6475166790214975,0.0134472286527163,0.0134379629592333,1.044072043331293,-0.0027771417465246,75,0.1115537848605577
S03_opening_continuation_q95__passive__d5,S03_opening_continuation,passive,5,1.0,8094,2470,130,86,256,0.0316283666913763,0.6475166790214975,0.0088544809348323,0.0088483936385777,0.7140974324419728,-0.0035084250172102,75,0.1035856573705179
S03_opening_continuation_q95__passive__d5,S03_opening_continuation,passive,5,3.0,8094,2470,130,86,256,0.0316283666913763,0.6475166790214975,-0.0002706427529418,-0.000270457533126,-0.0172778016769821,-0.0092924664185622,329,0.0876494023904382
