candidate_id,mechanism_id,execution,status,orders
S01_session_momentum__market__d0,S01_session_momentum,market,cancelled_unpaired,1282
S01_session_momentum__market__d0,S01_session_momentum,market,filled,5150
S01_session_momentum__market__d0,S01_session_momentum,market,missing_path,1600
S01_session_momentum__market__d5,S01_session_momentum,market,cancelled_unpaired,1750
S01_session_momentum__market__d5,S01_session_momentum,market,filled,3672
S01_session_momentum__market__d5,S01_session_momentum,market,missing_path,1600
S01_session_momentum__market__d5,S01_session_momentum,market,missing_quote,1010
S01_session_momentum__passive__d0,S01_session_momentum,passive,cancelled_unpaired,2011
S01_session_momentum__passive__d0,S01_session_momentum,passive,filled,1092
S01_session_momentum__passive__d0,S01_session_momentum,passive,missing_path,1600
S01_session_momentum__passive__d0,S01_session_momentum,passive,unfilled,3329
S01_session_momentum__passive__d5,S01_session_momentum,passive,cancelled_unpaired,1564
S01_session_momentum__passive__d5,S01_session_momentum,passive,filled,436
S01_session_momentum__passive__d5,S01_session_momentum,passive,missing_path,1600
S01_session_momentum__passive__d5,S01_session_momentum,passive,missing_quote,1010
S01_session_momentum__passive__d5,S01_session_momentum,passive,unfilled,3422
S02_range_location__market__d0,S02_range_location,market,cancelled_unpaired,817
S02_range_location__market__d0,S02_range_location,market,filled,6284
S02_range_location__market__d0,S02_range_location,market,missing_path,931
S02_range_location__market__d5,S02_range_location,market,cancelled_unpaired,1365
S02_range_location__market__d5,S02_range_location,market,filled,4888
S02_range_location__market__d5,S02_range_location,market,missing_path,931
S02_range_location__market__d5,S02_range_location,market,missing_quote,848
S02_range_location__passive__d0,S02_range_location,passive,cancelled_unpaired,1804
S02_range_location__passive__d0,S02_range_location,passive,filled,1144
S02_range_location__passive__d0,S02_range_location,passive,missing_path,931
S02_range_location__passive__d0,S02_range_location,passive,unfilled,4153
S02_range_location__passive__d5,S02_range_location,passive,cancelled_unpaired,1447
S02_range_location__passive__d5,S02_range_location,passive,filled,466
S02_range_location__passive__d5,S02_range_location,passive,missing_path,931
S02_range_location__passive__d5,S02_range_location,passive,missing_quote,848
S02_range_location__passive__d5,S02_range_location,passive,unfilled,4340
S03_opening_continuation_q95__market__d0,S03_opening_continuation,market,cancelled_unpaired,1118
S03_opening_continuation_q95__market__d0,S03_opening_continuation,market,filled,5192
S03_opening_continuation_q95__market__d0,S03_opening_continuation,market,missing_path,1784
S03_opening_continuation_q95__market__d5,S03_opening_continuation,market,cancelled_unpaired,1467
S03_opening_continuation_q95__market__d5,S03_opening_continuation,market,filled,3774
S03_opening_continuation_q95__market__d5,S03_opening_continuation,market,missing_path,1784
S03_opening_continuation_q95__market__d5,S03_opening_continuation,market,missing_quote,1069
S03_opening_continuation_q95__passive__d0,S03_opening_continuation,passive,cancelled_unpaired,1445
S03_opening_continuation_q95__passive__d0,S03_opening_continuation,passive,filled,604
S03_opening_continuation_q95__passive__d0,S03_opening_continuation,passive,missing_path,1784
S03_opening_continuation_q95__passive__d0,S03_opening_continuation,passive,unfilled,4261
S03_opening_continuation_q95__passive__d5,S03_opening_continuation,passive,cancelled_unpaired,1004
S03_opening_continuation_q95__passive__d5,S03_opening_continuation,passive,filled,256
S03_opening_continuation_q95__passive__d5,S03_opening_continuation,passive,missing_path,1784
