candidate_id,mechanism_id,execution,delay_seconds,cost_bp_side,period,cagr,total_return,sharpe,max_dd,pt_days,positive_day_rate
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,-1.0,train,0.0465545618918794,0.0151885548269201,1.2246426074713517,-0.0269077111554608,47,0.369047619047619
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,-1.0,development,0.0032115016349949,0.001062765702219,0.0950101149883049,-0.0182724578815119,24,0.4
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,-1.0,recent,0.1305027370099223,0.0407732447613891,2.252017402104521,-0.0143000385775775,34,0.4024390243902439
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,-0.5,train,0.0270579872817531,0.008883871302338,0.7303303920564632,-0.0294379027726296,47,0.3571428571428571
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,-0.5,development,-0.0181569231695633,-0.0060519147569343,-0.4027302340565585,-0.0196786209993696,25,0.3764705882352941
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,-0.5,recent,0.1138741873705282,0.0357606633001852,1.989876679911356,-0.0156151897196611,34,0.4024390243902439
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,0.0,train,0.0079218713716755,0.0026174362992297,0.2297851359918414,-0.0319618392453038,47,0.3571428571428571
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,0.0,development,-0.0390728674602771,-0.0131169377860073,-0.9018132181116846,-0.0243426574604841,105,0.3529411764705882
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,0.0,recent,0.0974879618174773,0.0307715303840898,1.7252390374492672,-0.0169419319148699,35,0.3902439024390244
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,1.0,train,-0.0292953188235711,-0.0098015933948233,-0.7846135207688529,-0.0369910054621264,47,0.3214285714285714
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,1.0,development,-0.0795852151426891,-0.0270993704458659,-1.900816702171324,-0.036578178495398,120,0.3176470588235294
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,1.0,recent,0.0654285385472415,0.0208631844961917,1.189616283595586,-0.019629595693683,35,0.3780487804878049
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,3.0,train,-0.0996872509200461,-0.0341905552702588,-2.82544756390878,-0.0484580307111378,58,0.2619047619047619
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,3.0,development,-0.1555861191533712,-0.0544831670668669,-3.879776858644068,-0.0629528452388407,120,0.2705882352941176
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,3.0,recent,0.0040669554120247,0.0013232188761445,0.101620094911,-0.0249848186372287,35,0.3658536585365853
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,5.0,train,-0.1650111555710854,-0.0579924626991058,-4.802232974005168,-0.060085322136886,58,0.2023809523809523
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,5.0,development,-0.2253459215698571,-0.0811097531298047,-5.792718188650762,-0.088618343509777,120,0.2352941176470588
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,5.0,recent,-0.0537919454878746,-0.0178533365247187,-0.9912068332476146,-0.0337501080140204,74,0.3536585365853658
S02_range_location__passive__d5,S02_range_location,passive,5,-1.0,train,0.011234401883114,0.0037078386809903,1.0180763023610082,-0.0056292893218788,20,0.3214285714285714
