candidate_id,mechanism_id,execution,delay_seconds,cost_bp_side,orders,events,sessions,symbols,filled,fill_rate,coverage,cagr,total_return,sharpe,max_dd,pt_days,positive_day_rate,stress_cagr_3bp,cagr_development,cagr_recent,cagr_train,fold_min_cagr,positive_folds,gate,quality,status
S09_gap_reaction_q95__passive__d5,S09_gap_reaction,passive,5,1.0,1920,768,48,56,132,0.06875,0.6604166666666667,0.0149046644899792,0.0148943872037299,2.2356979959173784,-0.0026235872366257,2,0.0637450199203187,0.0133841444464892,0.0069061338162836,0.0260736789420872,0.0125096796513632,0.0069061338162836,3,True,2.9159352576758266,execution_qualified_discovery
S08_breadth_reversal_q99__market__d0,S08_breadth_reversal,market,0,1.0,488,199,92,77,238,0.4877049180327868,0.6762295081967213,0.0089597275710282,0.0089535675990124,0.6243205038243623,-0.0118788341367865,22,0.1354581673306772,0.0055895036251678,0.004991543359885,0.0141807256145196,0.0081121430149855,0.004991543359885,3,True,0.6281107396586882,execution_qualified_discovery
S04_extreme_momentum_q95__market__d0,S04_extreme_momentum,market,0,1.0,4398,1365,238,105,2516,0.5720782173715325,0.737380627557981,0.0462458352667181,0.0462134613249902,1.1333690344777492,-0.024298491154125,72,0.4701195219123506,-0.0068339106810547,0.1140482596087044,0.0757383792377202,-0.0424991665698905,-0.0424991665698905,2,False,1.6831888582053267,rejected
S03_opening_continuation_q95__passive__d5,S03_opening_continuation,passive,5,1.0,8094,2470,130,86,256,0.0316283666913763,0.6475166790214975,0.0088544809348323,0.0088483936385777,0.7140974324419728,-0.0035084250172102,75,0.1035856573705179,-0.0002706427529418,0.0053573306479048,-0.0020045607940493,0.0234943599148766,-0.0020045607940493,2,False,1.4716729685867809,rejected
S05_volume_confirmed_q95__market__d0,S05_volume_confirmed,market,0,1.0,4176,1342,238,104,2492,0.5967432950191571,0.7545498084291188,0.038275627350641,0.0382489343547953,0.925880302476687,-0.0232294733839276,46,0.4741035856573705,-0.0162245706567946,0.0945453408187775,0.0775077847624488,-0.0491996990403394,-0.0491996990403394,2,False,1.4384182859647714,rejected
S10_bar_structure_q99__market__d5,S10_bar_structure,market,5,1.0,578,230,117,85,198,0.3425605536332179,0.5761245674740484,0.0146131351293574,0.0146030603055482,0.5966943652143749,-0.0113224934011294,201,0.1434262948207171,0.0037800641196421,-0.0086957616434796,0.0785742457424689,-0.0216560848011989,-0.0216560848011989,1,False,1.0355435611153185,rejected
S07_market_residual_q99__market__d5,S07_market_residual,market,5,1.0,1288,446,156,91,472,0.3664596273291925,0.5706521739130435,0.0079613785887266,0.0079559077024149,0.3784817673850532,-0.0128722628360159,67,0.2231075697211155,-0.0027053221259949,0.0096998070431058,0.0392910424542527,-0.0233571170187915,-0.0233571170187915,2,False,0.49454832563821083,rejected
S02_range_location__passive__d5,S02_range_location,passive,5,1.0,8032,4016,251,104,466,0.0580179282868525,0.7785109561752988,0.0009696118439508,0.0009689478593897,0.0856178933717551,-0.0068001945078851,34,0.298804780876494,-0.0144711251683381,0.015859045743886,-0.0094018646494236,-0.0035147653265797,-0.0094018646494236,1,False,0.09485529288945604,rejected
S06_vwap_displacement_q99__passive__d5,S06_vwap_displacement,passive,5,1.0,1414,460,198,101,108,0.0763790664780763,0.5495049504950495,-0.0126952176931571,-0.0126865836442998,-0.3187575308702571,-0.0450637317947677,196,0.0796812749003984,-0.025851394275005,-0.0281839015712783,0.0407060015693971,-0.0480014803570206,-0.0480014803570206,1,False,-0.31491110275451406,rejected
S01_session_momentum__passive__d0,S01_session_momentum,passive,0,1.0,8032,4016,251,100,1092,0.1359561752988047,0.8007968127490039,-0.0165477244649149,-0.0165364923341354,-0.3488749889156066,-0.0677360764873841,186,0.3386454183266932,-0.0856586093803274,-0.0795852151426891,0.0654285385472415,-0.0292953188235711,-0.0795852151426891,1,False,-0.31518670788676667,rejected
