candidate_id,leverage,cagr,total_return,sharpe,max_dd,pt_days
S01_session_momentum__passive__d0,1.0,-0.016547724464914926,-0.016536492334135455,-0.34887498891560664,-0.06773607648738411,186
S01_session_momentum__passive__d0,2.0,-0.034765068919015096,-0.03474169174566433,-0.34887498891560664,-0.1316225479529135,186
S01_session_momentum__passive__d0,4.0,-0.07576269166400318,-0.07571284956557056,-0.34887498891560664,-0.2484871011871277,186
S02_range_location__passive__d5,1.0,0.000969611843950835,0.0009689478593897238,0.08561789337175511,-0.00680019450788516,34
S02_range_location__passive__d5,2.0,0.0017915334255247384,0.0017903060907091817,0.08561789337175511,-0.01357367372448337,34
S02_range_location__passive__d5,4.0,0.002991059387347006,0.002989009062165371,0.08561789337175511,-0.02704056576199798,34
S03_opening_continuation_q95__passive__d5,1.0,0.00885448093483232,0.0088483936385777,0.7140974324419728,-0.0035084250172102704,75
S03_opening_continuation_q95__passive__d5,2.0,0.017632276335017627,0.01762010199356867,0.7140974324419728,-0.007014132590347888,75
S03_opening_continuation_q95__passive__d5,4.0,0.034955922870875344,0.03493158374287253,0.7140974324419728,-0.014017301483020717,75
S04_extreme_momentum_q95__market__d0,1.0,0.046245835266718105,0.04621346132499027,1.1333690344777492,-0.02429849115412508,72
S04_extreme_momentum_q95__market__d0,2.0,0.09282506399074864,0.09275866910956765,1.1333690344777492,-0.04821042810155696,72
S04_extreme_momentum_q95__market__d0,4.0,0.18643623618558824,0.18629741741847194,1.1333690344777492,-0.09487614953073586,72
S05_volume_confirmed_q95__market__d0,1.0,0.03827562735064105,0.03824893435479537,0.925880302476687,-0.023229473383927668,46
S05_volume_confirmed_q95__market__d0,2.0,0.07616271917007889,0.0761086533498998,0.925880302476687,-0.046092192051353176,46
S05_volume_confirmed_q95__market__d0,4.0,0.15020667386120512,0.15009650678201347,0.925880302476687,-0.09072384086812402,46
S06_vwap_displacement_q99__passive__d5,1.0,-0.01269521769315718,-0.012686583644299865,-0.31875753087025716,-0.04506373179476775,196
S06_vwap_displacement_q99__passive__d5,2.0,-0.026610759361100245,-0.026592789646992188,-0.31875753087025716,-0.08882741388277238,196
S06_vwap_displacement_q99__passive__d5,4.0,-0.057830578904853325,-0.0577921625222666,-0.31875753087025716,-0.172454419621492,196
S07_market_residual_q99__market__d5,1.0,0.007961378588726697,0.007955907702414944,0.3784817673850532,-0.012872262836015946,67
S07_market_residual_q99__market__d5,2.0,0.01551482138609539,0.015504120170348079,0.3784817673850532,-0.025670203247030954,67
S07_market_residual_q99__market__d5,4.0,0.029361761722274782,0.029341372697473167,0.3784817673850532,-0.05104096754896259,67
S08_breadth_reversal_q99__market__d0,1.0,0.008959727571028253,0.008953567599012446,0.6243205038243623,-0.011878834136786587,22
S08_breadth_reversal_q99__market__d0,2.0,0.017787053647570605,0.01777477150837914,0.6243205038243623,-0.02368145598443816,22
S08_breadth_reversal_q99__market__d0,4.0,0.035025658273002414,0.03500126977326179,0.6243205038243623,-0.04705862841223807,22
S09_gap_reaction_q95__passive__d5,1.0,0.014904664489979291,0.01489438720372993,2.2356979959173784,-0.002623587236625702,2
S09_gap_reaction_q95__passive__d5,2.0,0.02998557008085112,0.029964741605647882,2.2356979959173784,-0.005245219706478066,2
S09_gap_reaction_q95__passive__d5,4.0,0.060681979560131216,0.06063921041578091,2.2356979959173784,-0.010482620345863336,2
S10_bar_structure_q99__market__d5,1.0,0.014613135129357469,0.014603060305548254,0.5966943652143749,-0.011322493401129452,201
S10_bar_structure_q99__market__d5,2.0,0.028814696187700273,0.028794692337953398,0.5966943652143749,-0.022615467234130326,201
S10_bar_structure_q99__market__d5,4.0,0.05592872451041364,0.05588939302740625,0.5966943652143749,-0.04510653555796529,201
