candidate_id,mechanism_id,execution,delay_seconds,cost_bp_side,period,cagr,total_return,sharpe,max_dd,pt_days,positive_day_rate
S01_session_momentum__market__d0,S01_session_momentum,market,0,-1.0,train,0.0131941394667265,0.0043518112168323,0.1657039060906398,-0.0686516627161537,45,0.4761904761904761
S01_session_momentum__market__d0,S01_session_momentum,market,0,-1.0,development,0.0370963952027643,0.0121399304526892,0.3647881983291188,-0.0429905904288622,48,0.388235294117647
S01_session_momentum__market__d0,S01_session_momentum,market,0,-1.0,recent,0.3473280054232388,0.1020034716057283,2.2277093409828908,-0.0654450949829973,25,0.524390243902439
S01_session_momentum__market__d0,S01_session_momentum,market,0,-0.5,train,-0.0766225641887479,-0.0260630508539915,-0.5699767129600948,-0.0805954950803435,45,0.4523809523809524
S01_session_momentum__market__d0,S01_session_momentum,market,0,-0.5,development,-0.0591327991962994,-0.0199900924190408,-0.4585321855839287,-0.0568229352789854,48,0.3764705882352941
S01_session_momentum__market__d0,S01_session_momentum,market,0,-0.5,recent,0.256262382325686,0.0771614450078581,1.7231989568660775,-0.0714694783169829,37,0.524390243902439
S01_session_momentum__market__d0,S01_session_momentum,market,0,0.0,train,-0.1585107244772805,-0.0555692923554699,-1.3016569137613083,-0.0923914234648258,45,0.4404761904761904
S01_session_momentum__market__d0,S01_session_momentum,market,0,0.0,development,-0.1464691799394885,-0.0511134235590629,-1.284967355461562,-0.0704616584016378,48,0.3764705882352941
S01_session_momentum__market__d0,S01_session_momentum,market,0,0.0,recent,0.1713234077264571,0.0528710882270022,1.2166654523325198,-0.079046862440482,37,0.5
S01_session_momentum__market__d0,S01_session_momentum,market,0,1.0,train,-0.3012281592072047,-0.111962228488197,-2.750067858369613,-0.1211893842420839,116,0.4047619047619047
S01_session_momentum__market__d0,S01_session_momentum,market,0,1.0,development,-0.2976623992830945,-0.1104635662659364,-2.9434101468543186,-0.1237562465824159,120,0.3411764705882353
S01_session_momentum__market__d0,S01_session_momentum,market,0,1.0,recent,0.0182116662503066,0.0058973778560023,0.1990553618972383,-0.0940245527273013,37,0.4756097560975609
S01_session_momentum__market__d0,S01_session_momentum,market,0,3.0,train,-0.5183836840497958,-0.2149717816388863,-5.568195415451412,-0.2186655085374728,116,0.3452380952380952
S01_session_momentum__market__d0,S01_session_momentum,market,0,3.0,development,-0.5246881024321959,-0.2183910629252538,-6.255550835310938,-0.2284495638779374,120,0.2705882352941176
S01_session_momentum__market__d0,S01_session_momentum,market,0,3.0,recent,-0.2308100900322887,-0.0819438245817855,-1.8433527206852147,-0.1236909768502102,62,0.3780487804878049
S01_session_momentum__market__d0,S01_session_momentum,market,0,5.0,train,-0.6682667196532694,-0.3061796711120753,-8.250772828850506,-0.3061796711120753,120,0.25
S01_session_momentum__market__d0,S01_session_momentum,market,0,5.0,development,-0.6785478564619338,-0.3133783019783944,-9.510182506363591,-0.3207840681945308,120,0.2470588235294117
S01_session_momentum__market__d0,S01_session_momentum,market,0,5.0,recent,-0.4191562338928472,-0.1622208855852032,-3.87416644442572,-0.1816605170597206,104,0.3292682926829268
S01_session_momentum__market__d5,S01_session_momentum,market,5,-1.0,train,-0.0108398931880787,-0.0036041337311411,-0.0447564694666102,-0.0736858424921664,47,0.4523809523809524
S01_session_momentum__market__d5,S01_session_momentum,market,5,-1.0,development,0.1085056165199991,0.0347150557106423,1.062720310820477,-0.0459712900547023,50,0.4588235294117647
S01_session_momentum__market__d5,S01_session_momentum,market,5,-1.0,recent,0.2044204768287139,0.0624728907048093,1.8873613888620344,-0.0447832921913536,25,0.4146341463414634
S01_session_momentum__market__d5,S01_session_momentum,market,5,-0.5,train,-0.0805859169706048,-0.0274499145613802,-0.7033651725734167,-0.084043389613151,47,0.4404761904761904
S01_session_momentum__market__d5,S01_session_momentum,market,5,-0.5,development,0.0322445884907884,0.010568841973285,0.3625818072895548,-0.0571513437040642,50,0.4117647058823529
S01_session_momentum__market__d5,S01_session_momentum,market,5,-0.5,recent,0.1560824653311794,0.0483879557014963,1.488128921575744,-0.0476077441156013,29,0.4024390243902439
