candidate_id,mechanism_id,execution,delay_seconds,cost_bp_side,orders,events,sessions,symbols,filled,fill_rate,coverage,cagr,total_return,sharpe,max_dd,pt_days,positive_day_rate,stress_cagr_3bp,cagr_development,cagr_recent,cagr_train,fold_min_cagr,positive_folds,gate,quality,reason,status,historical_id
S01_session_momentum__passive__d5,S01_session_momentum,passive,5,1.0,8032,4016,251,100,436,0.0542828685258964,0.6750498007968128,-0.0151155142862049,-0.0151052468165912,-0.4965657463646203,-0.0428408770998394,230,0.2111553784860557,-0.0433551732973992,-0.0609161354882903,0.0341580237664318,-0.0159971041303257,-0.0609161354882903,1,False,-0.39429112188127385,not_best_variant_for_distinct_mechanism,,
S01_session_momentum__market__d5,S01_session_momentum,market,5,1.0,8032,4016,251,100,3672,0.4571713147410358,0.6750498007968128,-0.1425961126605562,-0.1425058215807969,-1.438057718265263,-0.1818769549488078,108,0.3545816733067729,-0.3291562436921947,-0.1666096867174291,0.0223300182453356,-0.2618052682900812,-0.2618052682900812,1,False,-1.0351997128406376,not_best_variant_for_distinct_mechanism,,
S01_session_momentum__market__d0,S01_session_momentum,market,0,1.0,8032,4016,251,100,5150,0.6411852589641435,0.8007968127490039,-0.2055245826278691,-0.2053994615312735,-1.757719012694917,-0.2296770950109431,330,0.4063745019920319,-0.4369158307448899,-0.2976623992830945,0.0182116662503066,-0.3012281592072047,-0.3012281592072047,1,False,-1.1864342671489987,not_best_variant_for_distinct_mechanism,,
S02_range_location__passive__d0,S02_range_location,passive,0,1.0,8032,4016,251,104,1144,0.1424302788844621,0.8840886454183267,-0.0314433260069795,-0.0314221459531187,-1.6041092939445118,-0.0425141518383027,248,0.4103585657370518,-0.0677163888650186,-0.0639218625609259,0.0007791621692414,-0.0306044748594929,-0.0639218625609259,1,False,-0.7624427659410106,not_best_variant_for_distinct_mechanism,,
S02_range_location__market__d0,S02_range_location,market,0,1.0,8032,4016,251,104,6284,0.7823705179282868,0.8840886454183267,-0.0649688111183349,-0.064925818283464,-1.131924184785501,-0.090379615342413,243,0.4302788844621514,-0.2418921500449256,-0.1383828573288085,0.088113254940753,-0.1278045219425702,-0.1383828573288085,1,False,-0.8378776913547547,not_best_variant_for_distinct_mechanism,,
S02_range_location__market__d5,S02_range_location,market,5,1.0,8032,4016,251,104,4888,0.6085657370517928,0.7785109561752988,-0.0760815509736548,-0.0760315078491634,-1.773107970628044,-0.0855931808536974,321,0.4422310756972111,-0.215172136303463,-0.1106531513292076,0.0139653511980459,-0.1263486562350927,-0.1263486562350927,1,False,-0.9899972410217952,not_best_variant_for_distinct_mechanism,,
S03_opening_continuation_q95__passive__d0,S03_opening_continuation,passive,0,1.0,8094,2470,130,86,604,0.074623177662466,0.7795898196194712,0.0123235905154139,0.0123151037502131,0.7513903136603759,-0.0083353464963426,217,0.1434262948207171,-0.0102090158364217,-0.0063095726349046,0.0017892604359401,0.0423926743309976,-0.0063095726349046,2,False,1.1310412743891058,not_best_variant_for_distinct_mechanism,,
S03_opening_continuation_q99__passive__d0,S03_opening_continuation,passive,0,1.0,1026,456,24,32,52,0.0506822612085769,0.7183235867446394,-0.00175181113019,-0.0017506131309685,-0.7127917215912779,-0.0031383079195927,182,0.0199203187250996,-0.0052096146535076,-0.0012097467386803,-0.0065451137573627,0.0023823770975661,-0.0065451137573627,1,False,-0.3172431379114865,not_best_variant_for_distinct_mechanism,,
S03_opening_continuation_q99__passive__d5,S03_opening_continuation,passive,5,1.0,1026,456,24,32,18,0.0175438596491228,0.6052631578947368,-0.0048428005969378,-0.0048394939143308,-1.57907551760672,-0.0051573293412334,260,0.0079681274900398,-0.0060381546330022,-0.0010832701759651,-0.0088174540372526,-0.004838168008065,-0.0088174540372526,0,False,-0.6412573532668904,not_best_variant_for_distinct_mechanism,,
S03_opening_continuation_q99__market__d5,S03_opening_continuation,market,5,1.0,1026,456,24,32,374,0.3645224171539961,0.6052631578947368,-0.0181737381851844,-0.0181614125868083,-1.3465367322098416,-0.0232794275275628,84,0.0398406374501992,-0.0404214163672731,0.0138691278687319,-0.0623064858600324,-0.005813961096151,-0.0623064858600324,1,False,-0.767277073967679,not_best_variant_for_distinct_mechanism,,
S03_opening_continuation_q99__market__d0,S03_opening_continuation,market,0,1.0,1026,456,24,32,528,0.5146198830409356,0.7183235867446394,-0.0281028365430759,-0.0280838738667573,-1.3177631386043125,-0.0392687903731082,106,0.0318725099601593,-0.0585497176338378,0.0376509488246747,-0.1076640129958586,-0.0108573843710827,-0.1076640129958586,1,False,-0.7804830315032562,not_best_variant_for_distinct_mechanism,,
S03_opening_continuation_q95__market__d5,S03_opening_continuation,market,5,1.0,8094,2470,130,86,3774,0.4662713120830244,0.6475166790214975,-0.1303829670641172,-0.1302998093932575,-3.3945033282264143,-0.1336077913439336,316,0.1394422310756972,-0.2521101071361366,-0.1200055743951354,-0.2263806790457101,-0.0403087883218424,-0.2263806790457101,0,False,-1.1843197196892377,not_best_variant_for_distinct_mechanism,,
S03_opening_continuation_q95__market__d0,S03_opening_continuation,market,0,1.0,8094,2470,130,86,5192,0.6414628119594762,0.7795898196194712,-0.2315125409743137,-0.2313740161034728,-4.92488183674219,-0.2316541684079652,364,0.1235059760956175,-0.3789881916808231,-0.1636291413581245,-0.3768183933481152,-0.1397756451315432,-0.3768183933481152,0,False,-1.3655368199658766,not_best_variant_for_distinct_mechanism,,
S04_extreme_momentum_q99__market__d5,S04_extreme_momentum,market,5,1.0,680,258,117,79,214,0.3147058823529411,0.5338235294117647,0.0262411724207562,0.0262229778529023,1.310487487566575,-0.0139152520088611,212,0.1673306772908366,0.0206467722437322,-0.0193771981221749,0.1028631015883889,0.0014136030957307,-0.0193771981221749,2,False,1.5792076062165572,not_best_variant_for_distinct_mechanism,,
S04_extreme_momentum_q95__market__d5,S04_extreme_momentum,market,5,1.0,4398,1365,238,105,1782,0.4051841746248295,0.6016371077762619,0.0296965025481201,0.0296758777426651,0.9661020111248274,-0.0209624101345222,69,0.4581673306772908,-0.0073087478618516,0.11702686061465,0.030119046026797,-0.0502708574570984,-0.0502708574570984,2,False,1.215434685061961,not_best_variant_for_distinct_mechanism,,
S04_extreme_momentum_q99__market__d0,S04_extreme_momentum,market,0,1.0,680,258,117,79,334,0.4911764705882352,0.6808823529411765,0.0175846148104965,0.0175724736606233,0.6151701756655477,-0.0342777369084968,117,0.1792828685258964,0.0090911281833536,-0.047329617324864,0.0980909509855005,0.0090843258734087,-0.047329617324864,2,False,0.43080243452615424,not_best_variant_for_distinct_mechanism,,
S04_extreme_momentum_q99__passive__d5,S04_extreme_momentum,passive,5,1.0,680,258,117,79,34,0.05,0.5338235294117647,0.0022329669576548,0.002231436871092,0.3702828994132241,-0.004201274081632,208,0.0278884462151394,0.0013976778301616,-0.006255767479811,0.0199602254720829,-0.0064125943347934,-0.0064125943347934,1,False,0.3268026913636827,not_best_variant_for_distinct_mechanism,,
S04_extreme_momentum_q95__passive__d0,S04_extreme_momentum,passive,0,1.0,4398,1365,238,105,734,0.166894042746703,0.737380627557981,0.0046876241839317,0.0046844081767813,0.2197428386184755,-0.0175536288653693,174,0.3067729083665338,-0.0098855513743061,0.0258286453652509,0.0158464219585485,-0.0264983051561921,-0.0264983051561921,2,False,0.2072561048512046,not_best_variant_for_distinct_mechanism,,
S04_extreme_momentum_q99__passive__d0,S04_extreme_momentum,passive,0,1.0,680,258,117,79,104,0.1529411764705882,0.6808823529411765,-0.0008017169076505,-0.0008011683822113,-0.0968087565274409,-0.0086073710717389,137,0.0597609561752988,-0.0033538629661943,-0.0160239881422652,0.0117436165803022,0.0022547092345743,-0.0160239881422652,2,False,-0.08820280547649047,not_best_variant_for_distinct_mechanism,,
S04_extreme_momentum_q95__passive__d5,S04_extreme_momentum,passive,5,1.0,4398,1365,238,105,352,0.0800363801728058,0.6016371077762619,-0.0110720260650309,-0.0110644897572569,-1.1893307502135946,-0.0139966708610138,221,0.199203187250996,-0.0176923388101967,-0.0202796763476619,0.0026485840241612,-0.0155760105599922,-0.0202796763476619,1,False,-0.6914469778179945,not_best_variant_for_distinct_mechanism,,
S05_volume_confirmed_q99__market__d5,S05_volume_confirmed,market,5,1.0,532,217,103,79,192,0.3609022556390977,0.5676691729323309,0.0213160738047377,0.0213013294457025,0.8826342069970162,-0.0133026648527226,70,0.1195219123505976,0.0158491285964299,0.0053043173612468,0.0444539677391682,0.0156808799053831,0.0053043173612468,3,False,1.3541954065160746,not_best_variant_for_distinct_mechanism,,
S05_volume_confirmed_q99__passive__d5,S05_volume_confirmed,passive,5,1.0,532,217,103,79,44,0.0827067669172932,0.5676691729323309,0.0065530822156185,0.0065485822209476,0.9421701000043272,-0.0026898121397036,80,0.0398406374501992,0.0053343127330844,-0.0021356033941588,0.026682621942945,-0.0040484168744648,-0.0040484168744648,1,False,1.258633552957445,not_best_variant_for_distinct_mechanism,,
S05_volume_confirmed_q99__passive__d0,S05_volume_confirmed,passive,0,1.0,532,217,103,79,108,0.2030075187969924,0.7236842105263158,0.0077852749099953,0.0077799255047388,0.5440360382667915,-0.006163160261311,142,0.0756972111553784,0.0048434341631791,0.0311412270512212,0.0022218401184674,-0.009410745041156,-0.009410745041156,2,False,0.8892537925137743,not_best_variant_for_distinct_mechanism,,
S05_volume_confirmed_q99__market__d0,S05_volume_confirmed,market,0,1.0,532,217,103,79,286,0.5375939849624061,0.7236842105263158,0.0178352890963153,0.0178229733592942,0.5806995305003861,-0.0242816621869326,69,0.1314741035856573,0.0100014704330573,-0.0050002474877133,0.0469934856498366,0.0132628346822463,-0.0050002474877133,2,False,0.6609512894940934,not_best_variant_for_distinct_mechanism,,
S05_volume_confirmed_q95__market__d5,S05_volume_confirmed,market,5,1.0,4176,1342,238,104,1772,0.4243295019157088,0.6199712643678161,0.008272066207714,0.0082663809494121,0.2834501186809698,-0.026399306508171,116,0.3944223107569721,-0.0294650560560588,0.0533321603434859,0.0508770067886275,-0.0731032959666686,-0.0731032959666686,2,False,0.21313423728954134,not_best_variant_for_distinct_mechanism,,
S05_volume_confirmed_q95__passive__d0,S05_volume_confirmed,passive,0,1.0,4176,1342,238,104,726,0.1738505747126436,0.7545498084291188,-0.0083176632574457,-0.0083119938537054,-0.4884860270473178,-0.0133062477961439,321,0.2709163346613545,-0.022854628158531,0.0067232805715851,-0.0095063250076162,-0.0222509760953285,-0.0222509760953285,1,False,-0.5484772737416859,not_best_variant_for_distinct_mechanism,,
S05_volume_confirmed_q95__passive__d5,S05_volume_confirmed,passive,5,1.0,4176,1342,238,104,358,0.085727969348659,0.6199712643678161,-0.0105109612946786,-0.0105038048508836,-0.8575277190300481,-0.0151113882703544,179,0.1673306772908366,-0.0177571065773048,-0.0200096963020059,0.0056707807708344,-0.0170756528247657,-0.0200096963020059,1,False,-0.6168372225210439,not_best_variant_for_distinct_mechanism,,
S06_vwap_displacement_q99__market__d0,S06_vwap_displacement,market,0,1.0,1414,460,198,101,828,0.5855728429985856,0.7454031117397454,-0.0219598161038606,-0.0219449515728725,-0.1900740814988559,-0.1175385471455141,170,0.3466135458167331,-0.1199511328333173,-0.1652715180738551,0.1079356879640183,0.012946938242085,-0.1652715180738551,2,False,-0.34821122057825393,not_best_variant_for_distinct_mechanism,,
S06_vwap_displacement_q99__passive__d0,S06_vwap_displacement,passive,0,1.0,1414,460,198,101,240,0.1697312588401697,0.7454031117397454,-0.025638996374806,-0.0256216742004798,-0.4857952992077416,-0.0635035215309788,169,0.1633466135458167,-0.0525181818799436,-0.0534252262533734,0.0210062811681677,-0.0429400912262553,-0.0534252262533734,1,False,-0.44187414200966857,not_best_variant_for_distinct_mechanism,,
S06_vwap_displacement_q99__market__d5,S06_vwap_displacement,market,5,1.0,1414,460,198,101,488,0.3451202263083451,0.5495049504950495,-0.0614944642246075,-0.0614536942189422,-0.8642490870792905,-0.10824893714705,131,0.2589641434262948,-0.1180862823693542,-0.2023525080240564,0.0924370128377711,-0.0509651343854308,-0.2023525080240564,1,False,-0.7576125927592852,not_best_variant_for_distinct_mechanism,,
S07_market_residual_q99__market__d0,S07_market_residual,market,0,1.0,1288,446,156,91,694,0.5388198757763976,0.7088509316770186,-0.0025538425350375,-0.0025520967575347,-0.0794804602713844,-0.028177700848001,256,0.250996015936255,-0.0184823906993178,-0.0217451034868317,0.0549202604491676,-0.037585493088922,-0.037585493088922,1,False,-0.12083301374540928,not_best_variant_for_distinct_mechanism,,
