candidate_a,candidate_b,jaccard,daily_correlation
S01_session_momentum__passive__d0,S02_range_location__passive__d5,0.009721322099805573,-0.04587774017559913
S01_session_momentum__passive__d0,S03_opening_continuation_q95__passive__d5,0.0,-0.05635497160918606
S01_session_momentum__passive__d0,S04_extreme_momentum_q95__market__d0,0.02879954376960365,0.1435790963568459
S01_session_momentum__passive__d0,S05_volume_confirmed_q95__market__d0,0.030181086519114688,0.26115795188092406
S01_session_momentum__passive__d0,S06_vwap_displacement_q99__passive__d5,0.002506265664160401,0.13662095982019867
S01_session_momentum__passive__d0,S07_market_residual_q99__market__d5,0.02289077828646174,0.14792860182117548
S01_session_momentum__passive__d0,S08_breadth_reversal_q99__market__d0,0.014492753623188406,0.2383114828155669
S01_session_momentum__passive__d0,S09_gap_reaction_q95__passive__d5,0.0008176614881439084,-0.02518264049024731
S01_session_momentum__passive__d0,S10_bar_structure_q99__market__d5,0.01335428122545169,0.13005073320828522
S02_range_location__passive__d5,S03_opening_continuation_q95__passive__d5,0.0,0.0385702845542094
S02_range_location__passive__d5,S04_extreme_momentum_q95__market__d0,0.014630826811840763,0.032756798912015536
S02_range_location__passive__d5,S05_volume_confirmed_q95__market__d0,0.014751286449399657,0.06153506001758253
S02_range_location__passive__d5,S06_vwap_displacement_q99__passive__d5,0.014134275618374558,0.3626916142382756
S02_range_location__passive__d5,S07_market_residual_q99__market__d5,0.012958963282937365,0.17833021099562163
S02_range_location__passive__d5,S08_breadth_reversal_q99__market__d0,0.001422475106685633,-0.019183704663573206
S02_range_location__passive__d5,S09_gap_reaction_q95__passive__d5,0.0016750418760469012,-0.006260896714192683
S02_range_location__passive__d5,S10_bar_structure_q99__market__d5,0.023112480739599383,0.2670516546161983
S03_opening_continuation_q95__passive__d5,S04_extreme_momentum_q95__market__d0,0.0,0.019826846737809205
S03_opening_continuation_q95__passive__d5,S05_volume_confirmed_q95__market__d0,0.0,0.00693479269664205
S03_opening_continuation_q95__passive__d5,S06_vwap_displacement_q99__passive__d5,0.0,-0.047071027322161965
S03_opening_continuation_q95__passive__d5,S07_market_residual_q99__market__d5,0.0,-0.007560998260158631
S03_opening_continuation_q95__passive__d5,S08_breadth_reversal_q99__market__d0,0.0,-0.07481517452550478
S03_opening_continuation_q95__passive__d5,S09_gap_reaction_q95__passive__d5,0.0,0.002610871834119359
S03_opening_continuation_q95__passive__d5,S10_bar_structure_q99__market__d5,0.0,-0.03752399020548042
S04_extreme_momentum_q95__market__d0,S05_volume_confirmed_q95__market__d0,0.45159420289855073,0.738902887563101
S04_extreme_momentum_q95__market__d0,S06_vwap_displacement_q99__passive__d5,0.0030581039755351682,0.11446315918773435
S04_extreme_momentum_q95__market__d0,S07_market_residual_q99__market__d5,0.15366795366795366,0.40143563132058835
S04_extreme_momentum_q95__market__d0,S08_breadth_reversal_q99__market__d0,0.03184713375796178,0.23237595453880033
S04_extreme_momentum_q95__market__d0,S09_gap_reaction_q95__passive__d5,0.0011342155009451795,0.020032181245528486
S04_extreme_momentum_q95__market__d0,S10_bar_structure_q99__market__d5,0.058089668615984406,0.21842742217902797
S05_volume_confirmed_q95__market__d0,S06_vwap_displacement_q99__passive__d5,0.0034735623311462757,0.17374829233789996
S05_volume_confirmed_q95__market__d0,S07_market_residual_q99__market__d5,0.13476263399693722,0.4097864434203339
S05_volume_confirmed_q95__market__d0,S08_breadth_reversal_q99__market__d0,0.031746031746031744,0.26902000625799183
S05_volume_confirmed_q95__market__d0,S09_gap_reaction_q95__passive__d5,0.0011446012972148034,0.06003446429613868
S05_volume_confirmed_q95__market__d0,S10_bar_structure_q99__market__d5,0.05572998430141287,0.3129503739039672
S06_vwap_displacement_q99__passive__d5,S07_market_residual_q99__market__d5,0.008695652173913044,0.2873889773237906
S06_vwap_displacement_q99__passive__d5,S08_breadth_reversal_q99__market__d0,0.005813953488372093,0.2279278422163031
S06_vwap_displacement_q99__passive__d5,S09_gap_reaction_q95__passive__d5,0.0,0.05121755545697083
S06_vwap_displacement_q99__passive__d5,S10_bar_structure_q99__market__d5,0.023411371237458192,0.44388750561196805
S07_market_residual_q99__market__d5,S08_breadth_reversal_q99__market__d0,0.05970149253731343,0.5114538713134154
S07_market_residual_q99__market__d5,S09_gap_reaction_q95__passive__d5,0.001658374792703151,-0.11332652129232951
S07_market_residual_q99__market__d5,S10_bar_structure_q99__market__d5,0.18374558303886926,0.4124464725475257
S08_breadth_reversal_q99__market__d0,S09_gap_reaction_q95__passive__d5,0.0,-0.06284371272534273
S08_breadth_reversal_q99__market__d0,S10_bar_structure_q99__market__d5,0.02830188679245283,0.28242789104032634
S09_gap_reaction_q95__passive__d5,S10_bar_structure_q99__market__d5,0.0,-0.08952356905114935
