feature,status,reason
largest_negative_bar_3,built,
distance_rolling_high_3,built,
distance_rolling_low_3,built,
range_position_3,built,
breakout_magnitude_3,built,
breakdown_magnitude_3,built,
volume_acceleration_3,built,
volatility_acceleration_3,built,
rolling_vwap_distance_3,built,
volume_range_ratio_3,built,
return_volume_product_3,built,
return_outlier_score_3,built,
return_rank_3,built,
relative_volume_rank_3,built,
realized_vol_rank_3,built,
range_position_rank_3,built,
return_vol_ratio_rank_3,built,
return_4,built,
log_return_4,built,
realized_vol_4,built,
downside_vol_4,built,
upside_vol_4,built,
return_vol_ratio_4,built,
volume_sum_4,built,
volume_mean_4,built,
relative_volume_4,built,
dollar_volume_mean_4,built,
range_mean_4,built,
range_ratio_4,built,
return_consistency_4,built,
positive_return_sum_4,built,
negative_return_sum_4,built,
largest_positive_bar_4,built,
largest_negative_bar_4,built,
distance_rolling_high_4,built,
distance_rolling_low_4,built,
range_position_4,built,
breakout_magnitude_4,built,
breakdown_magnitude_4,built,
volume_acceleration_4,built,
volatility_acceleration_4,built,
rolling_vwap_distance_4,built,
volume_range_ratio_4,built,
return_volume_product_4,built,
return_outlier_score_4,built,
return_rank_4,built,
relative_volume_rank_4,built,
realized_vol_rank_4,built,
range_position_rank_4,built,
return_vol_ratio_rank_4,built,
return_5,built,
log_return_5,built,
realized_vol_5,built,
downside_vol_5,built,
upside_vol_5,built,
return_vol_ratio_5,built,
volume_sum_5,built,
volume_mean_5,built,
relative_volume_5,built,
dollar_volume_mean_5,built,
range_mean_5,built,
range_ratio_5,built,
return_consistency_5,built,
positive_return_sum_5,built,
negative_return_sum_5,built,
largest_positive_bar_5,built,
largest_negative_bar_5,built,
distance_rolling_high_5,built,
distance_rolling_low_5,built,
range_position_5,built,
breakout_magnitude_5,built,
breakdown_magnitude_5,built,
volume_acceleration_5,built,
volatility_acceleration_5,built,
rolling_vwap_distance_5,built,
volume_range_ratio_5,built,
return_volume_product_5,built,
return_outlier_score_5,built,
return_rank_5,built,
relative_volume_rank_5,built,
realized_vol_rank_5,built,
range_position_rank_5,built,
return_vol_ratio_rank_5,built,
return_6,built,
log_return_6,built,
realized_vol_6,built,
downside_vol_6,built,
upside_vol_6,built,
return_vol_ratio_6,built,
volume_sum_6,built,
volume_mean_6,built,
relative_volume_6,built,
dollar_volume_mean_6,built,
range_mean_6,built,
range_ratio_6,built,
return_consistency_6,built,
positive_return_sum_6,built,
negative_return_sum_6,built,
largest_positive_bar_6,built,
largest_negative_bar_6,built,
distance_rolling_high_6,built,
distance_rolling_low_6,built,
range_position_6,built,
breakout_magnitude_6,built,
breakdown_magnitude_6,built,
volume_acceleration_6,built,
volatility_acceleration_6,built,
rolling_vwap_distance_6,built,
volume_range_ratio_6,built,
return_volume_product_6,built,
return_outlier_score_6,built,
return_rank_6,built,
relative_volume_rank_6,built,
realized_vol_rank_6,built,
range_position_rank_6,built,
return_vol_ratio_rank_6,built,
return_8,built,
log_return_8,built,
realized_vol_8,built,
downside_vol_8,built,
upside_vol_8,built,
return_vol_ratio_8,built,
volume_sum_8,built,
volume_mean_8,built,
relative_volume_8,built,
dollar_volume_mean_8,built,
range_mean_8,built,
range_ratio_8,built,
return_consistency_8,built,
positive_return_sum_8,built,
negative_return_sum_8,built,
largest_positive_bar_8,built,
largest_negative_bar_8,built,
distance_rolling_high_8,built,
distance_rolling_low_8,built,
range_position_8,built,
breakout_magnitude_8,built,
breakdown_magnitude_8,built,
volume_acceleration_8,built,
volatility_acceleration_8,built,
rolling_vwap_distance_8,built,
volume_range_ratio_8,built,
return_volume_product_8,built,
return_outlier_score_8,built,
return_rank_8,built,
relative_volume_rank_8,built,
realized_vol_rank_8,built,
range_position_rank_8,built,
return_vol_ratio_rank_8,built,
return_10,built,
log_return_10,built,
realized_vol_10,built,
downside_vol_10,built,
upside_vol_10,built,
return_vol_ratio_10,built,
volume_sum_10,built,
volume_mean_10,built,
relative_volume_10,built,
dollar_volume_mean_10,built,
range_mean_10,built,
range_ratio_10,built,
return_consistency_10,built,
positive_return_sum_10,built,
negative_return_sum_10,built,
largest_positive_bar_10,built,
largest_negative_bar_10,built,
distance_rolling_high_10,built,
distance_rolling_low_10,built,
range_position_10,built,
breakout_magnitude_10,built,
breakdown_magnitude_10,built,
volume_acceleration_10,built,
volatility_acceleration_10,built,
rolling_vwap_distance_10,built,
volume_range_ratio_10,built,
return_volume_product_10,built,
return_outlier_score_10,built,
return_rank_10,built,
relative_volume_rank_10,built,
realized_vol_rank_10,built,
range_position_rank_10,built,
return_vol_ratio_rank_10,built,
return_12,built,
log_return_12,built,
realized_vol_12,built,
downside_vol_12,built,
upside_vol_12,built,
return_vol_ratio_12,built,
volume_sum_12,built,
volume_mean_12,built,
relative_volume_12,built,
dollar_volume_mean_12,built,
range_mean_12,built,
range_ratio_12,built,
return_consistency_12,built,
positive_return_sum_12,built,
negative_return_sum_12,built,
largest_positive_bar_12,built,
largest_negative_bar_12,built,
distance_rolling_high_12,built,
distance_rolling_low_12,built,
range_position_12,built,
breakout_magnitude_12,built,
breakdown_magnitude_12,built,
volume_acceleration_12,built,
volatility_acceleration_12,built,
rolling_vwap_distance_12,built,
volume_range_ratio_12,built,
return_volume_product_12,built,
return_outlier_score_12,built,
return_rank_12,built,
relative_volume_rank_12,built,
realized_vol_rank_12,built,
range_position_rank_12,built,
return_vol_ratio_rank_12,built,
return_15,built,
log_return_15,built,
realized_vol_15,built,
downside_vol_15,built,
upside_vol_15,built,
return_vol_ratio_15,built,
volume_sum_15,built,
volume_mean_15,built,
relative_volume_15,built,
dollar_volume_mean_15,built,
range_mean_15,built,
range_ratio_15,built,
return_consistency_15,built,
positive_return_sum_15,built,
negative_return_sum_15,built,
largest_positive_bar_15,built,
largest_negative_bar_15,built,
distance_rolling_high_15,built,
distance_rolling_low_15,built,
range_position_15,built,
breakout_magnitude_15,built,
breakdown_magnitude_15,built,
volume_acceleration_15,built,
volatility_acceleration_15,built,
rolling_vwap_distance_15,built,
volume_range_ratio_15,built,
return_volume_product_15,built,
return_outlier_score_15,built,
return_rank_15,built,
relative_volume_rank_15,built,
realized_vol_rank_15,built,
range_position_rank_15,built,
return_vol_ratio_rank_15,built,
return_20,built,
log_return_20,built,
realized_vol_20,built,
downside_vol_20,built,
upside_vol_20,built,
return_vol_ratio_20,built,
volume_sum_20,built,
volume_mean_20,built,
relative_volume_20,built,
dollar_volume_mean_20,built,
range_mean_20,built,
range_ratio_20,built,
return_consistency_20,built,
positive_return_sum_20,built,
negative_return_sum_20,built,
largest_positive_bar_20,built,
largest_negative_bar_20,built,
distance_rolling_high_20,built,
distance_rolling_low_20,built,
range_position_20,built,
breakout_magnitude_20,built,
breakdown_magnitude_20,built,
volume_acceleration_20,built,
volatility_acceleration_20,built,
rolling_vwap_distance_20,built,
volume_range_ratio_20,built,
return_volume_product_20,built,
return_outlier_score_20,built,
return_rank_20,built,
relative_volume_rank_20,built,
realized_vol_rank_20,built,
range_position_rank_20,built,
return_vol_ratio_rank_20,built,
return_24,built,
log_return_24,built,
realized_vol_24,built,
downside_vol_24,built,
upside_vol_24,built,
return_vol_ratio_24,built,
volume_sum_24,built,
volume_mean_24,built,
relative_volume_24,built,
dollar_volume_mean_24,built,
range_mean_24,built,
range_ratio_24,built,
return_consistency_24,built,
positive_return_sum_24,built,
negative_return_sum_24,built,
largest_positive_bar_24,built,
largest_negative_bar_24,built,
distance_rolling_high_24,built,
distance_rolling_low_24,built,
range_position_24,built,
breakout_magnitude_24,built,
breakdown_magnitude_24,built,
volume_acceleration_24,built,
volatility_acceleration_24,built,
rolling_vwap_distance_24,built,
volume_range_ratio_24,built,
return_volume_product_24,built,
return_outlier_score_24,built,
return_rank_24,built,
relative_volume_rank_24,built,
realized_vol_rank_24,built,
range_position_rank_24,built,
return_vol_ratio_rank_24,built,
return_30,built,
log_return_30,built,
realized_vol_30,built,
downside_vol_30,built,
upside_vol_30,built,
return_vol_ratio_30,built,
volume_sum_30,built,
volume_mean_30,built,
relative_volume_30,built,
dollar_volume_mean_30,built,
range_mean_30,built,
range_ratio_30,built,
return_consistency_30,built,
positive_return_sum_30,built,
negative_return_sum_30,built,
largest_positive_bar_30,built,
largest_negative_bar_30,built,
distance_rolling_high_30,built,
distance_rolling_low_30,built,
range_position_30,built,
breakout_magnitude_30,built,
breakdown_magnitude_30,built,
volume_acceleration_30,built,
volatility_acceleration_30,built,
rolling_vwap_distance_30,built,
volume_range_ratio_30,built,
return_volume_product_30,built,
return_outlier_score_30,built,
return_rank_30,built,
relative_volume_rank_30,built,
realized_vol_rank_30,built,
range_position_rank_30,built,
return_vol_ratio_rank_30,built,
return_36,built,
log_return_36,built,
realized_vol_36,built,
downside_vol_36,built,
upside_vol_36,built,
return_vol_ratio_36,built,
volume_sum_36,built,
volume_mean_36,built,
relative_volume_36,built,
dollar_volume_mean_36,built,
range_mean_36,built,
range_ratio_36,built,
return_consistency_36,built,
positive_return_sum_36,built,
negative_return_sum_36,built,
largest_positive_bar_36,built,
largest_negative_bar_36,built,
distance_rolling_high_36,built,
distance_rolling_low_36,built,
range_position_36,built,
breakout_magnitude_36,built,
breakdown_magnitude_36,built,
volume_acceleration_36,built,
volatility_acceleration_36,built,
rolling_vwap_distance_36,built,
volume_range_ratio_36,built,
return_volume_product_36,built,
return_outlier_score_36,built,
return_rank_36,built,
relative_volume_rank_36,built,
realized_vol_rank_36,built,
range_position_rank_36,built,
return_vol_ratio_rank_36,built,
return_48,built,
log_return_48,built,
realized_vol_48,built,
downside_vol_48,built,
upside_vol_48,built,
return_vol_ratio_48,built,
volume_sum_48,built,
volume_mean_48,built,
relative_volume_48,built,
dollar_volume_mean_48,built,
range_mean_48,built,
range_ratio_48,built,
return_consistency_48,built,
positive_return_sum_48,built,
negative_return_sum_48,built,
largest_positive_bar_48,built,
largest_negative_bar_48,built,
distance_rolling_high_48,built,
distance_rolling_low_48,built,
range_position_48,built,
breakout_magnitude_48,built,
breakdown_magnitude_48,built,
volume_acceleration_48,built,
volatility_acceleration_48,built,
rolling_vwap_distance_48,built,
volume_range_ratio_48,built,
return_volume_product_48,built,
return_outlier_score_48,built,
return_rank_48,built,
relative_volume_rank_48,built,
realized_vol_rank_48,built,
range_position_rank_48,built,
return_vol_ratio_rank_48,built,
return_60,built,
log_return_60,built,
realized_vol_60,built,
downside_vol_60,built,
upside_vol_60,built,
return_vol_ratio_60,built,
volume_sum_60,built,
volume_mean_60,built,
relative_volume_60,built,
dollar_volume_mean_60,built,
range_mean_60,built,
range_ratio_60,built,
return_consistency_60,built,
positive_return_sum_60,built,
negative_return_sum_60,built,
largest_positive_bar_60,built,
largest_negative_bar_60,built,
distance_rolling_high_60,built,
distance_rolling_low_60,built,
range_position_60,built,
breakout_magnitude_60,built,
breakdown_magnitude_60,built,
volume_acceleration_60,built,
volatility_acceleration_60,built,
rolling_vwap_distance_60,built,
volume_range_ratio_60,built,
return_volume_product_60,built,
return_outlier_score_60,built,
return_rank_60,built,
relative_volume_rank_60,built,
realized_vol_rank_60,built,
range_position_rank_60,built,
return_vol_ratio_rank_60,built,
return_78,built,
log_return_78,built,
realized_vol_78,built,
downside_vol_78,built,
upside_vol_78,built,
return_vol_ratio_78,built,
volume_sum_78,built,
volume_mean_78,built,
relative_volume_78,built,
dollar_volume_mean_78,built,
range_mean_78,built,
range_ratio_78,built,
return_consistency_78,built,
positive_return_sum_78,built,
negative_return_sum_78,built,
largest_positive_bar_78,built,
largest_negative_bar_78,built,
distance_rolling_high_78,built,
distance_rolling_low_78,built,
range_position_78,built,
breakout_magnitude_78,built,
breakdown_magnitude_78,built,
volume_acceleration_78,built,
volatility_acceleration_78,built,
rolling_vwap_distance_78,built,
volume_range_ratio_78,built,
return_volume_product_78,built,
return_outlier_score_78,built,
return_rank_78,built,
relative_volume_rank_78,built,
realized_vol_rank_78,built,
range_position_rank_78,built,
return_vol_ratio_rank_78,built,
return_since_open,built,
overnight_gap,built,
previous_session_return,built,
bar_range_pct,built,
body_to_range,built,
upper_wick_to_range,built,
lower_wick_to_range,built,
close_location,built,
distance_session_vwap,built,
distance_session_high,built,
distance_session_low,built,
minutes_since_open,built,
day_of_week,built,
universe_breadth_positive,built,
universe_return_dispersion,built,
bar_return,built,
bar_log_return,built,
body_pct,built,
absolute_body_pct,built,
inside_bar,built,
outside_bar,built,
higher_high,built,
higher_low,built,
lower_high,built,
lower_low,built,
session_range_position,built,
cumulative_volume,built,
current_volume_share,built,
vwap_slope,built,
vwap_cross,built,
consecutive_positive_bars,built,
consecutive_negative_bars,built,
month,built,
quarter,built,
minute_of_session,built,
minutes_until_close,built,
market_up,built,
high_market_vol,built,
opening_return_1m,skipped,Opening window is shorter than configured 5-minute source bars
opening_range_1m,skipped,Opening window is shorter than configured 5-minute source bars
opening_volume_1m,skipped,Opening window is shorter than configured 5-minute source bars
opening_realized_vol_1m,skipped,Opening window is shorter than configured 5-minute source bars
opening_close_location_1m,skipped,Opening window is shorter than configured 5-minute source bars
distance_opening_high_1m,skipped,Opening window is shorter than configured 5-minute source bars
distance_opening_low_1m,skipped,Opening window is shorter than configured 5-minute source bars
opening_breakout_1m,skipped,Opening window is shorter than configured 5-minute source bars
opening_breakdown_1m,skipped,Opening window is shorter than configured 5-minute source bars
opening_return_3m,skipped,Opening window is shorter than configured 5-minute source bars
opening_range_3m,skipped,Opening window is shorter than configured 5-minute source bars
opening_volume_3m,skipped,Opening window is shorter than configured 5-minute source bars
opening_realized_vol_3m,skipped,Opening window is shorter than configured 5-minute source bars
opening_close_location_3m,skipped,Opening window is shorter than configured 5-minute source bars
distance_opening_high_3m,skipped,Opening window is shorter than configured 5-minute source bars
distance_opening_low_3m,skipped,Opening window is shorter than configured 5-minute source bars
opening_breakout_3m,skipped,Opening window is shorter than configured 5-minute source bars
opening_breakdown_3m,skipped,Opening window is shorter than configured 5-minute source bars
opening_return_5m,built,
opening_range_5m,built,
opening_volume_5m,built,
opening_realized_vol_5m,built,
opening_close_location_5m,built,
distance_opening_high_5m,built,
distance_opening_low_5m,built,
opening_breakout_5m,built,
opening_breakdown_5m,built,
opening_return_10m,built,
opening_range_10m,built,
opening_volume_10m,built,
opening_realized_vol_10m,built,
opening_close_location_10m,built,
distance_opening_high_10m,built,
distance_opening_low_10m,built,
opening_breakout_10m,built,
opening_breakdown_10m,built,
opening_return_15m,built,
opening_range_15m,built,
opening_volume_15m,built,
opening_realized_vol_15m,built,
opening_close_location_15m,built,
distance_opening_high_15m,built,
distance_opening_low_15m,built,
opening_breakout_15m,built,
opening_breakdown_15m,built,
opening_return_20m,built,
opening_range_20m,built,
opening_volume_20m,built,
opening_realized_vol_20m,built,
opening_close_location_20m,built,
distance_opening_high_20m,built,
distance_opening_low_20m,built,
opening_breakout_20m,built,
opening_breakdown_20m,built,
opening_return_30m,built,
opening_range_30m,built,
opening_volume_30m,built,
opening_realized_vol_30m,built,
opening_close_location_30m,built,
distance_opening_high_30m,built,
distance_opening_low_30m,built,
opening_breakout_30m,built,
opening_breakdown_30m,built,
opening_return_45m,built,
opening_range_45m,built,
opening_volume_45m,built,
opening_realized_vol_45m,built,
opening_close_location_45m,built,
distance_opening_high_45m,built,
distance_opening_low_45m,built,
opening_breakout_45m,built,
opening_breakdown_45m,built,
opening_return_60m,built,
opening_range_60m,built,
opening_volume_60m,built,
opening_realized_vol_60m,built,
opening_close_location_60m,built,
distance_opening_high_60m,built,
distance_opening_low_60m,built,
opening_breakout_60m,built,
opening_breakdown_60m,built,
opening_return_90m,built,
opening_range_90m,built,
opening_volume_90m,built,
opening_realized_vol_90m,built,
opening_close_location_90m,built,
distance_opening_high_90m,built,
distance_opening_low_90m,built,
opening_breakout_90m,built,
opening_breakdown_90m,built,
lagged_market_return_1,built,
lagged_breadth_change_1,built,
lagged_dispersion_change_1,built,
unreacted_market_move_1,built,
lagged_market_return_2,built,
lagged_breadth_change_2,built,
lagged_dispersion_change_2,built,
unreacted_market_move_2,built,
lagged_market_return_3,built,
lagged_breadth_change_3,built,
lagged_dispersion_change_3,built,
unreacted_market_move_3,built,
lagged_market_return_5,built,
lagged_breadth_change_5,built,
lagged_dispersion_change_5,built,
unreacted_market_move_5,built,
lagged_market_return_10,built,
lagged_breadth_change_10,built,
lagged_dispersion_change_10,built,
unreacted_market_move_10,built,
return_1_z_1560,built,
return_1_mean_ratio_1560,built,
return_1_median_diff_1560,built,
return_1_z_4680,built,
return_1_mean_ratio_4680,built,
return_1_median_diff_4680,built,
relative_volume_10_z_1560,built,
relative_volume_10_mean_ratio_1560,built,
relative_volume_10_median_diff_1560,built,
relative_volume_10_z_4680,built,
relative_volume_10_mean_ratio_4680,built,
relative_volume_10_median_diff_4680,built,
realized_vol_10_z_1560,built,
realized_vol_10_mean_ratio_1560,built,
realized_vol_10_median_diff_1560,built,
realized_vol_10_z_4680,built,
realized_vol_10_mean_ratio_4680,built,
realized_vol_10_median_diff_4680,built,
range_position_10_z_1560,built,
range_position_10_mean_ratio_1560,built,
range_position_10_median_diff_1560,built,
range_position_10_z_4680,built,
range_position_10_mean_ratio_4680,built,
range_position_10_median_diff_4680,built,
distance_session_vwap_z_1560,built,
distance_session_vwap_mean_ratio_1560,built,
distance_session_vwap_median_diff_1560,built,
distance_session_vwap_z_4680,built,
distance_session_vwap_mean_ratio_4680,built,
distance_session_vwap_median_diff_4680,built,
tod_relative_volume_20,built,
tod_cumulative_relative_volume_20,built,
tod_relative_volume_60,built,
tod_cumulative_relative_volume_60,built,
session_return_2,built,
session_return_5,built,
market_return_1,built,
stock_minus_market_return_1,built,
market_return_2,built,
stock_minus_market_return_2,built,
market_return_3,built,
stock_minus_market_return_3,built,
market_return_4,built,
stock_minus_market_return_4,built,
market_return_5,built,
stock_minus_market_return_5,built,
market_return_6,built,
stock_minus_market_return_6,built,
market_return_8,built,
stock_minus_market_return_8,built,
market_return_10,built,
stock_minus_market_return_10,built,
market_return_12,built,
stock_minus_market_return_12,built,
market_return_15,built,
stock_minus_market_return_15,built,
market_return_20,built,
stock_minus_market_return_20,built,
market_return_24,built,
stock_minus_market_return_24,built,
market_return_30,built,
stock_minus_market_return_30,built,
market_return_36,built,
stock_minus_market_return_36,built,
market_return_48,built,
stock_minus_market_return_48,built,
market_return_60,built,
stock_minus_market_return_60,built,
market_return_78,built,
stock_minus_market_return_78,built,
sector_return,skipped,No point-in-time sector classification supplied
stock_minus_sector_return,skipped,No point-in-time sector classification supplied
sector_rank,skipped,No point-in-time sector classification supplied
sector_breadth_positive,skipped,No point-in-time sector classification supplied
