feature,status,reason
return_1,built,
log_return_1,built,
realized_vol_1,built,
downside_vol_1,built,
upside_vol_1,built,
return_vol_ratio_1,built,
volume_sum_1,built,
volume_mean_1,built,
relative_volume_1,built,
dollar_volume_mean_1,built,
range_mean_1,built,
range_ratio_1,built,
return_consistency_1,built,
positive_return_sum_1,built,
negative_return_sum_1,built,
largest_positive_bar_1,built,
largest_negative_bar_1,built,
distance_rolling_high_1,built,
distance_rolling_low_1,built,
range_position_1,built,
breakout_magnitude_1,built,
breakdown_magnitude_1,built,
volume_acceleration_1,built,
volatility_acceleration_1,built,
rolling_vwap_distance_1,built,
volume_range_ratio_1,built,
return_volume_product_1,built,
return_outlier_score_1,built,
return_rank_1,built,
relative_volume_rank_1,built,
realized_vol_rank_1,built,
range_position_rank_1,built,
return_vol_ratio_rank_1,built,
return_2,built,
log_return_2,built,
realized_vol_2,built,
downside_vol_2,built,
upside_vol_2,built,
return_vol_ratio_2,built,
volume_sum_2,built,
volume_mean_2,built,
relative_volume_2,built,
dollar_volume_mean_2,built,
range_mean_2,built,
range_ratio_2,built,
return_consistency_2,built,
positive_return_sum_2,built,
negative_return_sum_2,built,
largest_positive_bar_2,built,
largest_negative_bar_2,built,
distance_rolling_high_2,built,
distance_rolling_low_2,built,
range_position_2,built,
breakout_magnitude_2,built,
breakdown_magnitude_2,built,
volume_acceleration_2,built,
volatility_acceleration_2,built,
rolling_vwap_distance_2,built,
volume_range_ratio_2,built,
return_volume_product_2,built,
return_outlier_score_2,built,
return_rank_2,built,
relative_volume_rank_2,built,
realized_vol_rank_2,built,
range_position_rank_2,built,
return_vol_ratio_rank_2,built,
return_3,built,
log_return_3,built,
realized_vol_3,built,
downside_vol_3,built,
upside_vol_3,built,
return_vol_ratio_3,built,
volume_sum_3,built,
volume_mean_3,built,
relative_volume_3,built,
dollar_volume_mean_3,built,
range_mean_3,built,
range_ratio_3,built,
return_consistency_3,built,
positive_return_sum_3,built,
negative_return_sum_3,built,
largest_positive_bar_3,built,
