name,description,family,lookback,classification,cutoff,calculation_frequency,price_basis,dtype,missing_rule,directional_meaning,status,unavailable_reason
distance_rolling_low_1,1-bar distance from rolling low,price_location,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_1,1-bar position in rolling range,price_location,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakout_magnitude_1,1-bar close above prior rolling high,momentum,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakdown_magnitude_1,1-bar close below prior rolling low,momentum,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_acceleration_1,1-bar short versus full-window volume,volume,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volatility_acceleration_1,1-bar short versus full-window volatility,volatility,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
rolling_vwap_distance_1,1-bar distance from rolling VWAP,vwap,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_range_ratio_1,1-bar volume divided by range,volume,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_volume_product_1,1-bar return multiplied by volume,volume,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_outlier_score_1,1-bar return divided by recent volatility,volatility,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_rank_1,cross-sectional percentile rank of return_1,cross_sectional,1.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_rank_1,cross-sectional percentile rank of relative_volume_1,cross_sectional,1.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_rank_1,cross-sectional percentile rank of realized_vol_1,cross_sectional,1.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_rank_1,cross-sectional percentile rank of range_position_1,cross_sectional,1.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_rank_1,cross-sectional percentile rank of return_vol_ratio_1,cross_sectional,1.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_2,2-bar simple return,momentum,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
log_return_2,2-bar log return,momentum,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_2,2-bar return standard deviation,volatility,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
downside_vol_2,2-bar downside volatility,volatility,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
upside_vol_2,2-bar upside volatility,volatility,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_2,2-bar return divided by volatility,momentum,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_sum_2,2-bar volume sum,volume,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_mean_2,2-bar average volume,volume,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_2,2-bar current volume divided by rolling mean,volume,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
dollar_volume_mean_2,2-bar average dollar volume,volume,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_mean_2,2-bar average high-low range,volatility,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_ratio_2,2-bar current range divided by rolling range,volatility,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_consistency_2,2-bar share positive returns,momentum,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
positive_return_sum_2,2-bar sum positive returns,momentum,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
negative_return_sum_2,2-bar sum negative returns,momentum,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_positive_bar_2,2-bar largest positive return,momentum,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_negative_bar_2,2-bar largest negative return,momentum,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_high_2,2-bar distance from rolling high,price_location,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_low_2,2-bar distance from rolling low,price_location,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_2,2-bar position in rolling range,price_location,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakout_magnitude_2,2-bar close above prior rolling high,momentum,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakdown_magnitude_2,2-bar close below prior rolling low,momentum,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_acceleration_2,2-bar short versus full-window volume,volume,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volatility_acceleration_2,2-bar short versus full-window volatility,volatility,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
rolling_vwap_distance_2,2-bar distance from rolling VWAP,vwap,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_range_ratio_2,2-bar volume divided by range,volume,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_volume_product_2,2-bar return multiplied by volume,volume,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_outlier_score_2,2-bar return divided by recent volatility,volatility,2.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_rank_2,cross-sectional percentile rank of return_2,cross_sectional,2.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_rank_2,cross-sectional percentile rank of relative_volume_2,cross_sectional,2.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_rank_2,cross-sectional percentile rank of realized_vol_2,cross_sectional,2.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_rank_2,cross-sectional percentile rank of range_position_2,cross_sectional,2.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_rank_2,cross-sectional percentile rank of return_vol_ratio_2,cross_sectional,2.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_3,3-bar simple return,momentum,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
log_return_3,3-bar log return,momentum,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_3,3-bar return standard deviation,volatility,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
downside_vol_3,3-bar downside volatility,volatility,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
upside_vol_3,3-bar upside volatility,volatility,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_3,3-bar return divided by volatility,momentum,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_sum_3,3-bar volume sum,volume,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_mean_3,3-bar average volume,volume,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_3,3-bar current volume divided by rolling mean,volume,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
dollar_volume_mean_3,3-bar average dollar volume,volume,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_mean_3,3-bar average high-low range,volatility,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_ratio_3,3-bar current range divided by rolling range,volatility,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_consistency_3,3-bar share positive returns,momentum,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
positive_return_sum_3,3-bar sum positive returns,momentum,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
negative_return_sum_3,3-bar sum negative returns,momentum,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_positive_bar_3,3-bar largest positive return,momentum,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_negative_bar_3,3-bar largest negative return,momentum,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_high_3,3-bar distance from rolling high,price_location,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_low_3,3-bar distance from rolling low,price_location,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_3,3-bar position in rolling range,price_location,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakout_magnitude_3,3-bar close above prior rolling high,momentum,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakdown_magnitude_3,3-bar close below prior rolling low,momentum,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_acceleration_3,3-bar short versus full-window volume,volume,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volatility_acceleration_3,3-bar short versus full-window volatility,volatility,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
rolling_vwap_distance_3,3-bar distance from rolling VWAP,vwap,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_range_ratio_3,3-bar volume divided by range,volume,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_volume_product_3,3-bar return multiplied by volume,volume,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_outlier_score_3,3-bar return divided by recent volatility,volatility,3.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_rank_3,cross-sectional percentile rank of return_3,cross_sectional,3.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_rank_3,cross-sectional percentile rank of relative_volume_3,cross_sectional,3.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_rank_3,cross-sectional percentile rank of realized_vol_3,cross_sectional,3.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_rank_3,cross-sectional percentile rank of range_position_3,cross_sectional,3.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_rank_3,cross-sectional percentile rank of return_vol_ratio_3,cross_sectional,3.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_4,4-bar simple return,momentum,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
log_return_4,4-bar log return,momentum,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_4,4-bar return standard deviation,volatility,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
downside_vol_4,4-bar downside volatility,volatility,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
upside_vol_4,4-bar upside volatility,volatility,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_4,4-bar return divided by volatility,momentum,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_sum_4,4-bar volume sum,volume,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_mean_4,4-bar average volume,volume,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_4,4-bar current volume divided by rolling mean,volume,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
dollar_volume_mean_4,4-bar average dollar volume,volume,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_mean_4,4-bar average high-low range,volatility,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_ratio_4,4-bar current range divided by rolling range,volatility,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_consistency_4,4-bar share positive returns,momentum,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
positive_return_sum_4,4-bar sum positive returns,momentum,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
negative_return_sum_4,4-bar sum negative returns,momentum,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_positive_bar_4,4-bar largest positive return,momentum,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_negative_bar_4,4-bar largest negative return,momentum,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_high_4,4-bar distance from rolling high,price_location,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_low_4,4-bar distance from rolling low,price_location,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_4,4-bar position in rolling range,price_location,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakout_magnitude_4,4-bar close above prior rolling high,momentum,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakdown_magnitude_4,4-bar close below prior rolling low,momentum,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_acceleration_4,4-bar short versus full-window volume,volume,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volatility_acceleration_4,4-bar short versus full-window volatility,volatility,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
rolling_vwap_distance_4,4-bar distance from rolling VWAP,vwap,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_range_ratio_4,4-bar volume divided by range,volume,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_volume_product_4,4-bar return multiplied by volume,volume,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_outlier_score_4,4-bar return divided by recent volatility,volatility,4.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_rank_4,cross-sectional percentile rank of return_4,cross_sectional,4.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_rank_4,cross-sectional percentile rank of relative_volume_4,cross_sectional,4.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_rank_4,cross-sectional percentile rank of realized_vol_4,cross_sectional,4.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_rank_4,cross-sectional percentile rank of range_position_4,cross_sectional,4.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_rank_4,cross-sectional percentile rank of return_vol_ratio_4,cross_sectional,4.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_5,5-bar simple return,momentum,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
log_return_5,5-bar log return,momentum,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_5,5-bar return standard deviation,volatility,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
downside_vol_5,5-bar downside volatility,volatility,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
upside_vol_5,5-bar upside volatility,volatility,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_5,5-bar return divided by volatility,momentum,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_sum_5,5-bar volume sum,volume,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_mean_5,5-bar average volume,volume,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_5,5-bar current volume divided by rolling mean,volume,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
dollar_volume_mean_5,5-bar average dollar volume,volume,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_mean_5,5-bar average high-low range,volatility,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_ratio_5,5-bar current range divided by rolling range,volatility,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_consistency_5,5-bar share positive returns,momentum,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
positive_return_sum_5,5-bar sum positive returns,momentum,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
negative_return_sum_5,5-bar sum negative returns,momentum,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_positive_bar_5,5-bar largest positive return,momentum,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_negative_bar_5,5-bar largest negative return,momentum,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_high_5,5-bar distance from rolling high,price_location,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_low_5,5-bar distance from rolling low,price_location,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_5,5-bar position in rolling range,price_location,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakout_magnitude_5,5-bar close above prior rolling high,momentum,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakdown_magnitude_5,5-bar close below prior rolling low,momentum,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_acceleration_5,5-bar short versus full-window volume,volume,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volatility_acceleration_5,5-bar short versus full-window volatility,volatility,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
rolling_vwap_distance_5,5-bar distance from rolling VWAP,vwap,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_range_ratio_5,5-bar volume divided by range,volume,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_volume_product_5,5-bar return multiplied by volume,volume,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_outlier_score_5,5-bar return divided by recent volatility,volatility,5.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_rank_5,cross-sectional percentile rank of return_5,cross_sectional,5.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_rank_5,cross-sectional percentile rank of relative_volume_5,cross_sectional,5.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_rank_5,cross-sectional percentile rank of realized_vol_5,cross_sectional,5.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_rank_5,cross-sectional percentile rank of range_position_5,cross_sectional,5.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_rank_5,cross-sectional percentile rank of return_vol_ratio_5,cross_sectional,5.0,cross_sectional,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_6,6-bar simple return,momentum,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
log_return_6,6-bar log return,momentum,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_6,6-bar return standard deviation,volatility,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
downside_vol_6,6-bar downside volatility,volatility,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
upside_vol_6,6-bar upside volatility,volatility,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_6,6-bar return divided by volatility,momentum,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_sum_6,6-bar volume sum,volume,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_mean_6,6-bar average volume,volume,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_6,6-bar current volume divided by rolling mean,volume,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
dollar_volume_mean_6,6-bar average dollar volume,volume,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_mean_6,6-bar average high-low range,volatility,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_ratio_6,6-bar current range divided by rolling range,volatility,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_consistency_6,6-bar share positive returns,momentum,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
positive_return_sum_6,6-bar sum positive returns,momentum,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
negative_return_sum_6,6-bar sum negative returns,momentum,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_positive_bar_6,6-bar largest positive return,momentum,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_negative_bar_6,6-bar largest negative return,momentum,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_high_6,6-bar distance from rolling high,price_location,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_low_6,6-bar distance from rolling low,price_location,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_position_6,6-bar position in rolling range,price_location,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
breakout_magnitude_6,6-bar close above prior rolling high,momentum,6.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
