name,description,family,lookback,classification,cutoff,calculation_frequency,price_basis,dtype,missing_rule,directional_meaning,status,unavailable_reason
return_1,1-bar simple return,momentum,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
log_return_1,1-bar log return,momentum,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
realized_vol_1,1-bar return standard deviation,volatility,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
downside_vol_1,1-bar downside volatility,volatility,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
upside_vol_1,1-bar upside volatility,volatility,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_vol_ratio_1,1-bar return divided by volatility,momentum,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_sum_1,1-bar volume sum,volume,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
volume_mean_1,1-bar average volume,volume,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
relative_volume_1,1-bar current volume divided by rolling mean,volume,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
dollar_volume_mean_1,1-bar average dollar volume,volume,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_mean_1,1-bar average high-low range,volatility,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
range_ratio_1,1-bar current range divided by rolling range,volatility,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
return_consistency_1,1-bar share positive returns,momentum,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
positive_return_sum_1,1-bar sum positive returns,momentum,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
negative_return_sum_1,1-bar sum negative returns,momentum,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_positive_bar_1,1-bar largest positive return,momentum,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
largest_negative_bar_1,1-bar largest negative return,momentum,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
distance_rolling_high_1,1-bar distance from rolling high,price_location,1.0,time_series,completed_bar_available_at,5m,raw_execution_price,continuous,exclude_pairwise,none,requested,
