feature,feature_family,feature_classification,target,n,sessions,symbols,mean_target,median_target,std_target,win_rate,skewness,downside_p05,upside_p95,pearson,spearman,slope,cluster_se,cluster_t,raw_p,ci_low,ci_high,year_consistency,symbol_breadth,time_stability,outlier_sensitivity,status,top_bottom_spread,monotonicity,shape,ic_mean,ic_median,ic_std,ic_t,ic_positive_pct,target_family,bh_fdr_p,test_count,redundancy_group,anomaly_score,screen_bh_fdr_p_global,exact_selected_bh_fdr_p
return_rank_2,cross_sectional,cross_sectional,fwd_return_380m_benchmark_adjusted,318841,1704,190,4.793778498424217e-05,-0.00010412931442260742,0.020138327032327652,0.48540809750556946,0.17187492549419403,-0.02851414680480957,0.029359817504882812,0.033174943178892136,0.02958018332719803,0.002267061970212417,0.0004869474082901207,4.655660820073024,3.229432109730368e-06,0.0013126450499637804,0.0032214788904610533,1.0,0.7407407407407407,1.0,3.7178397178649902e-06,robust_anomaly_candidate,0.002679256838746369,0.9999999999999999,positive_monotonic,0.024950984600326766,0.024409710008052247,0.2563579776061569,5.681861515311569,0.5422535211267606,fwd_return_380m,0.0002491309365698203,1,return_rank_LOOKBACK,0.956048084809025,0.0002491309365698203,4.305909479640491e-06
return_rank_2,cross_sectional,cross_sectional,fwd_return_380m,318841,1704,190,0.0003106003860011697,0.00024509429931640625,0.022514011710882187,0.5069705843925476,0.40152475237846375,-0.03334164619445801,0.03423309326171875,0.029638376086950302,0.02586176060140133,0.0022643162587778726,0.0004982815316210334,4.544250820237086,5.5130980626261206e-06,0.001287684456800647,0.003240948060755098,1.0,0.7157894736842105,1.0,3.345310688018799e-06,robust_anomaly_candidate,0.002736017690040171,0.9999999999999999,positive_monotonic,0.024950984600326766,0.024409710008052247,0.2563579776061569,5.681861515311569,0.5422535211267606,fwd_return_380m,0.0003816252040548092,1,return_rank_LOOKBACK,0.9542723456894803,0.0003816252040548092,7.088268937662155e-06
return_rank_1,cross_sectional,cross_sectional,fwd_return_385m_benchmark_adjusted,149831,1704,190,3.869924330501817e-05,-0.0001322031021118164,0.020763134583830833,0.4839986562728882,0.17802447080612183,-0.02948954701423645,0.030254453420639038,0.032684750854969025,0.030069492757320404,0.002293265107731697,0.0005313713331555077,4.3157486387406685,1.590628983927367e-05,0.0012517772947469017,0.003334752920716492,1.0,0.7180851063829787,1.0,5.217269062995911e-06,robust_anomaly_candidate,0.002721818396821618,0.9878787878787878,positive_monotonic,0.025150225524184718,0.02429746284079602,0.2663080849570312,3.898453221803767,0.5322769953051644,fwd_return_385m,0.0008935586599424505,1,return_rank_LOOKBACK,0.9510640904144063,0.0008935586599424505,3.1160642342431544e-05
return_rank_2,cross_sectional,cross_sectional,fwd_return_385m,149831,1704,190,0.0003047097416128963,0.00024688243865966797,0.023181984201073647,0.5069645047187805,0.3997618556022644,-0.03441217541694641,0.03521847724914551,0.02864983305335045,0.026416826993227005,0.002247892844096295,0.000546511509233923,4.11316652278247,3.902686543788558e-05,0.001176730285997806,0.003319055402194784,1.0,0.7195767195767195,1.0,4.738569259643555e-06,robust_anomaly_candidate,0.002774248248897493,0.9636363636363635,positive_monotonic,0.024257239435699154,0.020060934377372927,0.2636459936148284,3.7980002945466107,0.5269953051643192,fwd_return_385m,0.0018560709721517942,1,return_rank_LOOKBACK,0.9491988152068908,0.0018560709721517942,5.8540298156828374e-05
return_rank_4,cross_sectional,cross_sectional,fwd_return_380m,318841,1704,190,0.0003106003860011697,0.00024509429931640625,0.022514011710882187,0.5069705843925476,0.40152475237846375,-0.03334164619445801,0.03423309326171875,0.02777564525604248,0.024023063480854034,0.002125060080254765,0.0005109272978511019,4.159222044295753,3.193333561279932e-05,0.0011236425764666054,0.003126477584042924,1.0,0.7195767195767195,1.0,1.7192214727401733e-06,robust_anomaly_candidate,0.0025951185962185264,0.9878787878787878,positive_monotonic,0.023420133156981403,0.025403680610274777,0.2541593825572697,5.379389689503515,0.545774647887324,fwd_return_380m,0.0015786017859092238,1,return_rank_4,0.9491172712214936,0.0015786017859092238,3.708387361486372e-05
return_since_open,opening,time_series,fwd_return_385m_benchmark_adjusted,149891,1705,190,3.9008722524158657e-05,-0.00013256072998046875,0.0207600686699152,0.483985036611557,0.17803175747394562,-0.029486030340194702,0.030252784490585327,0.033403102308511734,0.029113611206412315,0.08060600989696445,0.018199274795221466,4.429078125581627,9.463673919296589e-06,0.04493543129833038,0.11627658849559852,1.0,0.7659574468085106,1.0,6.631016731262207e-07,robust_anomaly_candidate,0.0029025316471233964,0.9151515151515152,positive_monotonic,,,,,,fwd_return_385m,0.0005771790755570135,1,return_since_open,0.9477794926623558,0.0005771790755570135,9.463673919296589e-06
return_rank_6,cross_sectional,cross_sectional,fwd_return_380m,318841,1704,190,0.0003106003860011697,0.00024509429931640625,0.022514011710882187,0.5069705843925476,0.40152475237846375,-0.03334164619445801,0.03423309326171875,0.02622118405997753,0.02286537177860737,0.0020090637094623575,0.0005125557546083369,3.919697889252182,8.866003741769823e-05,0.0010044544304300173,0.0030136729884946978,1.0,0.7157894736842105,1.0,4.3567270040512085e-06,robust_anomaly_candidate,0.002535780775360763,0.9999999999999999,positive_monotonic,0.022524228689894385,0.024792708446133137,0.2542022482137676,5.172736237895033,0.5425469483568075,fwd_return_380m,0.0035454740998048756,1,return_rank_6,0.9474811811822795,0.0035454740998048756,9.119318134391819e-05
return_rank_4,cross_sectional,cross_sectional,fwd_return_385m,149831,1704,190,0.0003047097416128963,0.00024688243865966797,0.023181984201073647,0.5069645047187805,0.3997618556022644,-0.03441217541694641,0.03521847724914551,0.02697836048901081,0.024522120133042336,0.002119988176041731,0.0005620160293007131,3.772113366018261,0.0001618706756539856,0.001018436758612333,0.003221539593471129,1.0,0.7195767195767195,1.0,3.0491501092910767e-06,robust_anomaly_candidate,0.002562591223977506,0.9878787878787878,positive_monotonic,0.023290243756441092,0.02402423686532836,0.26197854299438406,3.669806002218871,0.5363849765258216,fwd_return_385m,0.0057158025910981234,1,return_rank_4,0.9470827050344691,0.0057158025910981234,0.00019424481078478273
return_rank_4,cross_sectional,cross_sectional,fwd_return_375m,499071,1704,192,0.0003068608639296144,0.00024497509002685547,0.021982455626130104,0.5072364807128906,0.4063171148300171,-0.03242528438568115,0.03325653076171875,0.027987193316221237,0.023605389520525932,0.0020934650142609996,0.0004741298777429599,4.415383025905678,1.0083129292071114e-05,0.0011641704538847982,0.003022759574637201,1.0,0.7225130890052356,1.0,2.4903565645217896e-06,robust_anomaly_candidate,0.002504092757590115,0.9878787878787878,positive_monotonic,0.02265812835101226,0.02266835924212361,0.2510510452229951,6.452936943806031,0.5406885758998435,fwd_return_375m,0.000609160912487603,1,return_rank_4,0.943799932627108,0.000609160912487603,1.4116381008899559e-05
return_rank_4,cross_sectional,cross_sectional,fwd_return_380m_benchmark_adjusted,318841,1704,190,4.793778498424217e-05,-0.00010412931442260742,0.020138327032327652,0.48540809750556946,0.17187492549419403,-0.02851414680480957,0.029359817504882812,0.030896199867129326,0.027082327753305435,0.0021143779508458415,0.0004947255813852071,4.2738399436020424,1.921349829847596e-05,0.0011447158113308356,0.0030840400903608474,1.0,0.7074468085106383,1.0,3.0472874641418457e-06,robust_anomaly_candidate,0.002532065729610622,0.9878787878787878,positive_monotonic,0.023420133156981403,0.025403680610274777,0.2541593825572697,5.379389689503515,0.545774647887324,fwd_return_380m,0.0010457234300114914,1,return_rank_4,0.9434307385373576,0.0010457234300114914,2.3851239267073608e-05
