feature name,feature family,built status,availability start,missing rate,infinite count,minimum,maximum,median,99th percentile,corporate-action alerts
return_1,momentum,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-0.10114344209432602,0.22558139264583588,0.0,0.006563786370679737,0.0
log_return_1,momentum,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-0.1066318079829216,0.20341533422470093,0.0,0.00654233847744763,0.0
realized_vol_1,volatility,built,,1.0,0,,,,,0.0
downside_vol_1,volatility,built,,1.0,0,,,,,0.0
upside_vol_1,volatility,built,,1.0,0,,,,,0.0
return_vol_ratio_1,momentum,built,,1.0,0,,,,,0.0
volume_sum_1,volume,built,2019-06-21 13:35:00+00:00,0.0,0,189.0,46687044.0,30035.0,1397678.2799999975,0.0
volume_mean_1,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,251.0,46687044.0,32238.0,1371026.5000000037,0.0
relative_volume_1,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,0.001048633479513228,571.9263916015625,1.007417917251587,4.016632270812991,0.0
dollar_volume_mean_1,volume,built,2019-06-21 13:35:00+00:00,0.0,0,946.7100219726562,5997123584.0,3511175.75,263458682.23999977,0.0
range_mean_1,volatility,built,2019-06-21 13:35:00+00:00,0.0,0,0.0,105.94640350341797,0.23999999463558197,3.4916999340057373,0.0
range_ratio_1,volatility,built,2019-06-21 13:35:00+00:00,1.54081695287202e-05,0,1.0,1.0,1.0,1.0,0.0
return_consistency_1,momentum,built,2019-06-21 13:35:00+00:00,0.0,0,0.0,1.0,0.0,1.0,0.0
positive_return_sum_1,momentum,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,0.0,0.22558139264583588,0.0,0.006563786370679737,0.0
negative_return_sum_1,momentum,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-0.10114344209432602,0.0,0.0,0.0,0.0
largest_positive_bar_1,momentum,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-0.10114344209432602,0.22558139264583588,0.0,0.006563786370679737,0.0
largest_negative_bar_1,momentum,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-0.10114344209432602,0.22558139264583588,0.0,0.006563786370679737,0.0
distance_rolling_high_1,price_location,built,2019-06-21 13:35:00+00:00,0.0,0,-0.10114344209432602,0.0,-0.0008415737538598478,0.0,0.0
distance_rolling_low_1,price_location,built,2019-06-21 13:35:00+00:00,0.0,0,0.0,0.22273781895637512,0.0008667764486745,0.008791729398071765,0.0
range_position_1,price_location,built,2019-06-21 13:35:00+00:00,1.54081695287202e-05,0,0.0,1.0,0.5,1.0,0.0
breakout_magnitude_1,momentum,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,0.0,0.20871560275554657,0.0,0.004337981622666125,0.0
breakdown_magnitude_1,momentum,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-0.1008608415722847,0.0,0.0,0.0,0.0
volume_acceleration_1,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-0.9989513754844666,570.9263916015625,0.0074178664945065975,3.016632342338565,0.0
volatility_acceleration_1,volatility,built,,1.0,0,,,,,0.0
rolling_vwap_distance_1,vwap,built,2019-06-21 13:35:00+00:00,0.0,0,-2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0
volume_range_ratio_1,volume,built,2019-06-21 13:35:00+00:00,1.54081695287202e-05,0,108.52583312988281,885092992.0,149508.328125,6982974.61999999,0.0
return_volume_product_1,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-719240.1875,3211789.5,0.0,2288.7742431640663,0.0
return_outlier_score_1,volatility,built,,1.0,0,,,,,0.0
relative_volume_prior_1,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,0.001048633479513228,571.9263916015625,1.007417917251587,4.016632270812991,0.0
relative_volume_inclusive_1,volume,built,2019-06-21 13:35:00+00:00,0.0,0,1.0,1.0,1.0,1.0,0.0
return_2,momentum,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,-0.17530232667922974,0.27325439453125,0.0,0.009105516597628593,0.0
log_return_2,momentum,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,-0.19273841381072998,0.2415761500597,0.0,0.009064311161637306,0.0
realized_vol_2,volatility,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,0.0,0.13200488686561584,0.0009463016176596284,0.008317621657624829,0.0
downside_vol_2,volatility,built,2019-06-21 13:45:00+00:00,0.7959668613818264,0,1.6620213235188364e-12,0.07127673178911209,0.0005397525383159518,0.00513682148884983,0.0
upside_vol_2,volatility,built,2019-06-21 13:45:00+00:00,0.7909655705289281,0,5.079186377043854e-11,0.13200488686561584,0.0005282806232571602,0.005197371905669564,0.0
return_vol_ratio_2,momentum,built,2019-06-21 13:45:00+00:00,0.12520293354799816,0,-5143675.5,15767079.0,0.0,59.63166275024447,0.0
