feature name,feature family,built status,availability start,missing rate,infinite count,minimum,maximum,median,99th percentile,corporate-action alerts
volume_sum_2,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,693.0,58884144.0,66569.0,2693105.8000000045,0.0
volume_mean_2,volume,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,346.5,29442072.0,34554.0,1327693.0349999992,0.0
relative_volume_2,volume,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,0.0020936063956469297,324.96881103515625,0.9773917198181152,3.871371757984156,0.0
dollar_volume_mean_2,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,1494.3375244140625,3824591616.0,3772225.0,261111102.40000004,0.0
range_mean_2,volatility,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,0.0,78.87329864501953,0.2370000034570694,3.140000104904175,0.0
range_ratio_2,volatility,built,2019-06-21 13:40:00+00:00,0.07310992213263805,0,0.0,2.0,0.991150438785553,1.5494071245193481,0.0
return_consistency_2,momentum,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,0.0,1.0,0.5,1.0,0.0
positive_return_sum_2,momentum,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,0.0,0.2644796669483185,0.0007806544890627265,0.009898821283131829,0.0
negative_return_sum_2,momentum,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,-0.183647021651268,0.0,-0.0007592053734697402,0.0,0.0
largest_positive_bar_2,momentum,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,-0.08250357955694199,0.22558139264583588,0.0007100553484633565,0.008214820176362991,0.0
largest_negative_bar_2,momentum,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,-0.10114344209432602,0.10049479454755783,-0.0006934358389116824,0.0028825774090364418,0.0
distance_rolling_high_2,price_location,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-0.17530232667922974,0.0,-0.0012397060636430979,0.0,0.0
distance_rolling_low_2,price_location,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,0.0,0.2760290503501892,0.0012872221413999796,0.012139863520860703,0.0
range_position_2,price_location,built,2019-06-21 13:40:00+00:00,0.07310983839258627,0,0.0,1.0,0.5,1.0,0.0
breakout_magnitude_2,momentum,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,0.0,0.20871560275554657,0.0,0.003744196647312488,0.0
breakdown_magnitude_2,momentum,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,-0.10001873224973679,0.0,0.0,0.0,0.0
volume_acceleration_2,volume,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,-0.9979063868522644,323.96881103515625,-0.02260824665427208,2.871371757984156,0.0
volatility_acceleration_2,volatility,built,,1.0,0,,,,,0.0
rolling_vwap_distance_2,vwap,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-0.06133224442601204,0.04863419756293297,0.0,0.0032896737102419207,0.0
volume_range_ratio_2,volume,built,2019-06-21 13:35:00+00:00,1.54081695287202e-05,0,108.52583312988281,885092992.0,149508.328125,6982974.61999999,0.0
return_volume_product_2,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-719240.1875,3211789.5,0.0,2288.7742431640663,0.0
return_outlier_score_2,volatility,built,2019-06-21 13:45:00+00:00,0.12520293354799816,0,-2573268.75,7881961.0,0.0,29.89765243530276,0.0
relative_volume_prior_2,volume,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,0.0020936063956469297,324.96881103515625,0.9773917198181152,3.871371757984156,0.0
relative_volume_inclusive_2,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,0.002095069969072938,1.9965091943740845,1.0036952495574951,1.6013261795043947,0.0
return_3,momentum,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,-0.17558512091636658,0.28536584973335266,0.0,0.011001907289028168,0.0
log_return_3,momentum,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,-0.19308137893676758,0.2510433793067932,0.0,0.010941826738417149,0.0
realized_vol_3,volatility,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.0,0.11718932539224625,0.001168909016996622,0.007773359613493087,0.0
downside_vol_3,volatility,built,2019-06-21 13:45:00+00:00,0.5904177766061615,0,0.0,0.0713990107178688,0.0005755361053161323,0.005084748947992941,0.0
upside_vol_3,volatility,built,2019-06-21 13:45:00+00:00,0.5830081218638827,0,0.0,0.11718932539224625,0.0005661254399456084,0.00516376635991035,0.0
return_vol_ratio_3,momentum,built,2019-06-21 13:50:00+00:00,0.16384494792499268,0,-127325.171875,121348.5703125,0.0,11.750165615081789,0.0
volume_sum_3,volume,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,984.0,73531928.0,105998.0,3963700.8299999963,0.0
volume_mean_3,volume,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,328.0,24510644.0,36159.66796875,1312641.7525000004,0.0
relative_volume_3,volume,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.004340209532529116,261.2010192871094,0.9622248411178589,4.018470029830933,0.0
dollar_volume_mean_3,volume,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,1727.9599609375,3338104576.0,3917719.75,259620211.35999742,0.0
range_mean_3,volatility,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,0.0,73.51667022705078,0.23333333432674408,2.959623003005964,0.0
range_ratio_3,volatility,built,2019-06-21 13:45:00+00:00,0.12355727405028942,0,0.0,3.0,0.9622641801834106,1.7796610593795776,0.0
return_consistency_3,momentum,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,0.0,1.0,0.3333333432674408,1.0,0.0
positive_return_sum_3,momentum,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.0,0.2739918828010559,0.0013756528496742249,0.012895720079541206,0.0
negative_return_sum_3,momentum,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,-0.18398992717266083,0.0,-0.0013471037382259965,0.0,0.0
largest_positive_bar_3,momentum,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,-0.034780360758304596,0.22558139264583588,0.00108790909871459,0.009187337942421436,0.0
largest_negative_bar_3,momentum,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,-0.10114344209432602,0.0380026139318943,-0.001073306892067194,0.001477322725113482,0.0
distance_rolling_high_3,price_location,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,-0.1759806126356125,0.0,-0.001539458753541112,0.0,0.0
distance_rolling_low_3,price_location,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,0.0,0.28693529963493347,0.001603665528818965,0.014628657139837742,0.0
range_position_3,price_location,built,2019-06-21 13:45:00+00:00,0.12355727405028942,0,0.0,1.0,0.5056179761886597,1.0,0.0
breakout_magnitude_3,momentum,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.0,0.20871560275554657,0.0,0.003395133172161892,0.0
breakdown_magnitude_3,momentum,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,-0.10001873224973679,0.0,0.0,0.0,0.0
volume_acceleration_3,volume,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,-0.9956597685813904,260.2010192871094,-0.037775155156850815,3.018470029830933,0.0
volatility_acceleration_3,volatility,built,,1.0,0,,,,,0.0
rolling_vwap_distance_3,vwap,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,-0.0583823136985302,0.08837616443634033,6.70545296088676e-06,0.004663127525709565,0.0
volume_range_ratio_3,volume,built,2019-06-21 13:35:00+00:00,1.54081695287202e-05,0,108.52583312988281,885092992.0,149508.328125,6982974.61999999,0.0
return_volume_product_3,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-719240.1875,3211789.5,0.0,2288.7742431640663,0.0
return_outlier_score_3,volatility,built,2019-06-21 13:50:00+00:00,0.16384494792499268,0,-42443.72265625,40447.5234375,0.0,4.091670322418217,0.0
relative_volume_prior_3,volume,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.004340209532529116,261.2010192871094,0.9622248411178589,4.018470029830933,0.0
relative_volume_inclusive_3,volume,built,2019-06-21 13:45:00+00:00,0.12355719031023764,0,0.003137125400826335,2.98164963722229,0.984813392162323,1.9780923175811758,0.0
return_4,momentum,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,-0.17523443698883057,0.2885085642337799,0.0,0.01257643491029738,0.0
log_return_4,momentum,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,-0.19265609979629517,0.25348538160324097,0.0,0.012498008441179978,0.0
realized_vol_4,volatility,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.0,0.10550224035978317,0.0012513939291238785,0.007474651681259269,0.0
downside_vol_4,volatility,built,2019-06-21 13:45:00+00:00,0.4381747616360361,0,0.0,0.0713990107178688,0.0006107804365456104,0.0050522200763225555,0.0
upside_vol_4,volatility,built,2019-06-21 13:45:00+00:00,0.4305458754381803,0,0.0,0.10550224035978317,0.000602677115239203,0.00515501851215959,0.0
return_vol_ratio_4,momentum,built,2019-06-21 13:55:00+00:00,0.1973566280292859,0,-41632.68359375,72977.8359375,0.0,8.79883418083189,0.0
volume_sum_4,volume,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,1534.0,86128256.0,147422.0,5233866.820000015,0.0
volume_mean_4,volume,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,571.0,21532064.0,37421.75,1305279.354999985,0.0
relative_volume_4,volume,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.005116285290569067,284.05767822265625,0.9522580504417419,4.198079557418816,0.0
dollar_volume_mean_4,volume,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,1866.021240234375,2923806208.0,4017454.75,259263563.20000017,0.0
range_mean_4,volatility,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.0012499999720603228,64.74152374267578,0.23104999959468842,2.836250066757202,0.0
range_ratio_4,volatility,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.0,4.0,0.9468598961830139,1.9090908765792847,0.0
return_consistency_4,momentum,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.0,1.0,0.5,1.0,0.0
positive_return_sum_4,momentum,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.0,0.27643686532974243,0.0019413715926930308,0.015723020173609218,0.0
negative_return_sum_4,momentum,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,-0.18398992717266083,0.0,-0.0019069112604483962,0.0,0.0
largest_positive_bar_4,momentum,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,-0.017427386716008186,0.22558139264583588,0.0013486071256920695,0.009867871180176735,0.0
largest_negative_bar_4,momentum,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,-0.10114344209432602,0.0380026139318943,-0.00133677723351866,0.0007646721205674112,0.0
distance_rolling_high_4,price_location,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,-0.17637474834918976,0.0,-0.0017879246734082699,0.0,0.0
distance_rolling_low_4,price_location,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.0,0.3044554591178894,0.0018701755907386541,0.016693138517439407,0.0
range_position_4,price_location,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.0,1.0,0.5079365372657776,1.0,0.0
breakout_magnitude_4,momentum,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.0,0.20871560275554657,0.0,0.0031414589053019855,0.0
breakdown_magnitude_4,momentum,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,-0.10001873224973679,0.0,0.0,0.0,0.0
volume_acceleration_4,volume,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,-0.9945525527000427,141.3840789794922,-0.010248822160065174,1.8677213215827935,0.0
volatility_acceleration_4,volatility,built,2019-06-21 13:55:00+00:00,0.1973566280292859,0,-1.0,0.7320508360862732,-0.14103561639785767,0.7149965065717696,0.0
rolling_vwap_distance_4,vwap,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,-0.07723057270050049,0.11199957132339478,1.2101656466256827e-05,0.005692115854471928,0.0
volume_range_ratio_4,volume,built,2019-06-21 13:35:00+00:00,1.54081695287202e-05,0,108.52583312988281,885092992.0,149508.328125,6982974.61999999,0.0
return_volume_product_4,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-719240.1875,3211789.5,0.0,2288.7742431640663,0.0
return_outlier_score_4,volatility,built,2019-06-21 13:55:00+00:00,0.1973566280292859,0,-10410.4951171875,18242.134765625,0.0,2.7053072357177683,0.0
relative_volume_prior_4,volume,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.005116285290569067,284.05767822265625,0.9522580504417419,4.198079557418816,0.0
relative_volume_inclusive_4,volume,built,2019-06-21 13:50:00+00:00,0.16346878761236763,0,0.005778585560619831,3.954580068588257,0.9713985323905945,2.290225658416748,0.0
return_5,momentum,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,-0.17566010355949402,0.3241206109523773,9.131220394920092e-06,0.013963573053479207,0.0
log_return_5,momentum,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,-0.19317235052585602,0.28074854612350464,9.13117855816381e-06,0.01386698001995684,0.0
realized_vol_5,volatility,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.0,0.0932309553027153,0.001295055029913783,0.007282813861966147,0.0
downside_vol_5,volatility,built,2019-06-21 13:45:00+00:00,0.33806972648908024,0,0.0,0.0713990107178688,0.0006442723097279668,0.00503676338121295,0.0
upside_vol_5,volatility,built,2019-06-21 13:45:00+00:00,0.33195511164768016,0,0.0,0.0932309553027153,0.0006371370400302112,0.005153213040903186,0.0
return_vol_ratio_5,momentum,built,2019-06-21 14:00:00+00:00,0.22696526805986109,0,-23318.6328125,18088.234375,0.007253425195813179,8.17511490821839,0.0
volume_sum_5,volume,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,2706.0,99082144.0,190388.0,6497291.9799999725,0.0
volume_mean_5,volume,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,665.2000122070312,19816428.0,38492.3984375,1299081.2325000004,0.0
relative_volume_5,volume,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.003956301603466272,220.25088500976562,0.9447523355484009,4.377010192871108,0.0
dollar_volume_mean_5,volume,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,4303.3681640625,2671093760.0,4090886.25,259096828.15999848,0.0
range_mean_5,volatility,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.003000000026077032,57.74985885620117,0.22801999747753143,2.747999906539917,0.0
range_ratio_5,volatility,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.0,4.743748664855957,0.9352548718452454,1.9952927470207202,0.0
return_consistency_5,momentum,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.0,1.0,0.4000000059604645,1.0,0.0
positive_return_sum_5,momentum,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.0,0.30407506227493286,0.0025018162559717894,0.018469261229038317,0.0
negative_return_sum_5,momentum,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,-0.18450605869293213,0.0,-0.0024636590387672186,0.0,0.0
largest_positive_bar_5,momentum,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,-0.01600000075995922,0.22558139264583588,0.0015463917516171932,0.010407047346234322,0.0
largest_negative_bar_5,momentum,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,-0.10114344209432602,0.023634454235434532,-0.0015352159971371293,0.0003574617882259239,0.0
distance_rolling_high_5,price_location,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,-0.17637474834918976,0.0,-0.0020083202980458736,0.0,0.0
distance_rolling_low_5,price_location,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.0,0.3174999952316284,0.0021060146391391754,0.018513612523674942,0.0
range_position_5,price_location,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.0,1.0,0.5092592835426331,1.0,0.0
breakout_magnitude_5,momentum,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.0,0.20871560275554657,0.0,0.0029581189015880282,0.0
breakdown_magnitude_5,momentum,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,-0.09959370642900467,0.0,0.0,0.0,0.0
volume_acceleration_5,volume,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,-0.9948282837867737,109.60897064208984,-0.01891421340405941,2.031859250068668,0.0
volatility_acceleration_5,volatility,built,2019-06-21 14:00:00+00:00,0.22696526805986109,0,-1.0,1.0,-0.20581066608428955,0.9198335641622544,0.0
rolling_vwap_distance_5,vwap,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,-0.0909515917301178,0.1278359293937683,1.6709123883629218e-05,0.006516158692538736,0.0
volume_range_ratio_5,volume,built,2019-06-21 13:35:00+00:00,1.54081695287202e-05,0,108.52583312988281,885092992.0,149508.328125,6982974.61999999,0.0
return_volume_product_5,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-719240.1875,3211789.5,0.0,2288.7742431640663,0.0
return_outlier_score_5,volatility,built,2019-06-21 14:00:00+00:00,0.22696526805986109,0,-4666.25634765625,3615.1171875,0.0,2.3847843432426465,0.0
relative_volume_prior_5,volume,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.003956301603466272,220.25088500976562,0.9447523355484009,4.377010192871108,0.0
relative_volume_inclusive_5,volume,built,2019-06-21 13:55:00+00:00,0.1972156935221292,0,0.006387186702340841,4.930569648742676,0.9614382386207581,2.5604042816162087,0.0
return_6,momentum,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,-0.1754380762577057,0.3076923191547394,2.708999272726942e-05,0.015247260853648185,0.0
log_return_6,momentum,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,-0.19290302693843842,0.2682639956474304,2.7089625291409902e-05,0.01513218943029642,0.0
realized_vol_6,volatility,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,0.0,0.08858433365821838,0.0013220054097473621,0.007144086807966223,0.0
downside_vol_6,volatility,built,2019-06-21 13:45:00+00:00,0.2764698744744998,0,0.0,0.0713990107178688,0.0006745567079633474,0.0050329914549365595,0.0
upside_vol_6,volatility,built,2019-06-21 13:45:00+00:00,0.2718991749678878,0,0.0,0.0932309553027153,0.0006684322725050151,0.005175266866572199,0.0
return_vol_ratio_6,momentum,built,2019-06-21 14:05:00+00:00,0.25373604147544276,0,-3890.2548828125,10758.333984375,0.019401507452130318,8.076021995544416,0.0
volume_sum_6,volume,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,3751.0,110101456.0,234713.0,7759665.000000022,0.0
volume_mean_6,volume,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,730.3333129882812,18350244.0,39432.33203125,1294660.5649999995,0.0
relative_volume_6,volume,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,0.004739333875477314,223.7135467529297,0.9377616047859192,4.571480426788305,0.0
dollar_volume_mean_6,volume,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,4403.21337890625,2496848640.0,4149640.5,258990224.00000072,0.0
range_mean_6,volatility,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.0034895832650363445,55.79154968261719,0.22583332657814026,2.6787997722625807,0.0
range_ratio_6,volatility,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.0,5.651464462280273,0.9260042309761047,2.057142972946167,0.0
return_consistency_6,momentum,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.0,1.0,0.5,1.0,0.0
positive_return_sum_6,momentum,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,0.0,0.30407506227493286,0.0030625166837126017,0.021124326065182664,0.0
negative_return_sum_6,momentum,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,-0.18450605869293213,0.0,-0.003014619927853346,0.0,0.0
largest_positive_bar_6,momentum,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,-0.011379831470549107,0.22558139264583588,0.0016997840721160173,0.010859026573598385,0.0
largest_negative_bar_6,momentum,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,-0.10114344209432602,0.023634454235434532,-0.0016917610773816705,0.0001087429336621426,0.0
distance_rolling_high_6,price_location,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,-0.17637474834918976,0.0,-0.002206261968240142,0.0,0.0
distance_rolling_low_6,price_location,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.0,0.3375634551048279,0.002319539897143841,0.02010097242891795,0.0
range_position_6,price_location,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.0,1.0,0.5102040767669678,1.0,0.0
breakout_magnitude_6,momentum,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,0.0,0.20871560275554657,0.0,0.002803309904411414,0.0
breakdown_magnitude_6,momentum,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,-0.09611101448535919,0.0,0.0,0.0,0.0
volume_acceleration_6,volume,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,-0.992989182472229,74.32479858398438,-0.009334114380180836,1.4862757253646794,0.0
volatility_acceleration_6,volatility,built,2019-06-21 14:05:00+00:00,0.25373604147544276,0,-1.0,0.5811388492584229,-0.054552771151065826,0.5458459663391111,0.0
rolling_vwap_distance_6,vwap,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,-0.07839567214250565,0.1398867517709732,2.022305670834612e-05,0.007234957516193411,0.0
volume_range_ratio_6,volume,built,2019-06-21 13:35:00+00:00,1.54081695287202e-05,0,108.52583312988281,885092992.0,149508.328125,6982974.61999999,0.0
return_volume_product_6,volume,built,2019-06-21 13:40:00+00:00,0.07310891725201661,0,-719240.1875,3211789.5,0.0,2288.7742431640663,0.0
return_outlier_score_6,volatility,built,2019-06-21 14:05:00+00:00,0.25373604147544276,0,-651.0484619140625,1790.383056640625,0.0,2.3012084484100326,0.0
relative_volume_prior_6,volume,built,2019-06-21 14:05:00+00:00,0.25370589505679964,0,0.004739333875477314,223.7135467529297,0.9377616047859192,4.571480426788305,0.0
relative_volume_inclusive_6,volume,built,2019-06-21 14:00:00+00:00,0.22690321668148725,0,0.004743808414787054,5.866815090179443,0.9535324573516846,2.8006859111785936,0.0
return_8,momentum,built,2019-06-21 14:15:00+00:00,0.30102823572188153,0,-0.17309322953224182,0.32245922088623047,5.146945113665424e-05,0.01747601009905339,0.0
log_return_8,momentum,built,2019-06-21 14:15:00+00:00,0.30102823572188153,0,-0.19006332755088806,0.2794930636882782,5.146812691236846e-05,0.017325061336159714,0.0
realized_vol_8,volatility,built,2019-06-21 14:15:00+00:00,0.30102823572188153,0,0.0,0.07758424431085587,0.0013521265937015414,0.006937246201559902,0.0
downside_vol_8,volatility,built,2019-06-21 13:45:00+00:00,0.21912142114906927,0,0.0,0.05800459533929825,0.0007253515068441629,0.005061069596558783,0.0
upside_vol_8,volatility,built,2019-06-21 13:45:00+00:00,0.21677703465925377,0,0.0,0.08556858450174332,0.0007197914528660476,0.005233250726014377,0.0
