candidate_cluster,pairs,best_primary_fdr,best_effect,robust_phase1
breakdown_magnitude_5__very_short__response_-1,3,7.242277796527623e-08,-2.9168805212975712e-05,0
close_location__medium__response_1,2,1.2177061222850438e-07,0.00012463778693927452,1
close_location__short__response_1,1,0.00013887973895120072,5.8828090914175846e-05,0
consecutive_negative_bars__very_short__response_1,1,0.00012717294962713425,2.005176884267712e-05,0
consecutive_positive_bars__medium__response_1,1,0.0004554675106815489,7.393348641926423e-05,0
higher_high__medium__response_-1,2,0.0006035888364767113,-0.00014788655971642584,0
higher_high__medium__response_1,1,2.8257731480059884e-05,1.868362960522063e-05,0
higher_low__medium__response_-1,1,0.0007532279578292688,-2.3431159206666052e-05,0
higher_low__medium__response_1,1,0.00010138760884322629,1.6002175470930524e-05,0
lagged_breadth_change_3__long_intraday__response_1,1,0.023672723765353697,3.6347570130601525e-05,0
lower_wick_to_range__medium__response_1,1,0.005026556473715328,3.625852605182445e-05,0
lower_wick_to_range__short__response_1,1,0.003460721247191744,2.3561535044791526e-05,0
market_residual_return_20__long_intraday__response_-1,2,4.390080531196736e-08,-0.00021471485524671152,1
market_residual_return_20__short__response_-1,2,5.165496756682678e-05,-0.00014925121286069043,1
market_residual_return_20__very_short__response_-1,2,8.919430097357605e-10,-7.492187432944775e-05,0
opening_breakdown_5m__medium__response_-1,2,0.0016797594709836285,-0.0002410536071693059,1
opening_breakdown_5m__short__response_-1,1,0.0013312165377469042,-8.147830521920696e-05,0
opening_breakout_5m__medium__response_1,2,0.00039453296829725126,0.000209574522159528,1
opening_breakout_5m__short__response_1,2,0.00021408020584633906,5.051733342043008e-05,0
opening_breakout_5m__very_short__response_1,2,7.110628220775165e-05,3.042495700356085e-05,0
opening_close_location_20m__short__response_1,1,0.003226792078589122,0.00010280899005010724,1
opening_close_location_20m__very_short__response_1,2,0.00038670268669186954,5.926100129727274e-05,0
range_position_10_z_4680__medium__response_1,2,0.0007132391429447286,0.00019878407692885958,1
range_position_1__medium__response_1,2,1.2177061222850438e-07,0.0001343856729363324,1
range_position_1__short__response_1,1,0.00013887973895120072,5.8828090914175846e-05,0
range_position_rank_60__very_short__response_-1,3,6.285765148878392e-15,-5.0127931899623945e-05,0
relative_volume_inclusive_4__medium__response_1,2,0.002106192002363141,3.6624693166231737e-05,0
relative_volume_inclusive_4__short__response_1,3,8.037736738581598e-05,4.037725375383161e-05,0
relative_volume_inclusive_4__very_short__response_1,2,0.000628293596622403,2.5276297492382582e-05,0
return_1_z_1560__medium__response_1,1,0.01949076273304934,0.00010817121074069291,0
return_1_z_1560__very_short__response_-1,2,0.0004627959928656276,-3.425128306844272e-05,0
return_consistency_5__medium__response_1,1,0.00045087458549196555,0.00018001820717472583,0
return_outlier_score_24__very_short__response_-1,3,9.519842542119354e-12,-3.7893090848228894e-05,0
return_rank_1__very_short__response_-1,2,6.285765148878392e-15,-6.933674376341514e-05,0
rolling_vwap_distance_6__medium__response_1,2,0.009766390905734354,0.0002087528700940311,1
rolling_vwap_distance_6__short__response_1,1,0.025136859558400653,8.590849029133096e-05,0
session_range_position__medium__response_1,2,4.858555709986966e-06,0.000335616510710679,1
session_range_position__short__response_1,1,3.499544714609299e-07,0.00014132440992398188,1
session_range_position__very_short__response_1,2,7.370893216673658e-06,6.506909448944498e-05,0
universe_breadth_positive__medium__response_1,1,0.06507347112166485,5.159251122677233e-05,0
universe_breadth_positive__short__response_1,2,9.402991439612962e-05,5.947201316303108e-05,0
universe_breadth_positive__very_short__response_1,1,0.002038466803536662,1.6743589185352903e-05,0
unreacted_market_move_2__long_intraday__response_1,1,0.039193536729112605,6.693491468467982e-05,0
unreacted_market_move_2__very_short__response_1,3,0.0011947913668137037,3.644039315986447e-05,0
upper_wick_to_range__medium__response_-1,2,7.39096759521241e-06,-5.8391709899296984e-05,0
upper_wick_to_range__short__response_-1,2,0.00031242085704414436,-3.838650900434004e-05,0
upper_wick_to_range__very_short__response_-1,2,0.00048317652569011214,-2.1316255242709303e-05,0
