candidate_id,feature,target,expected_direction,decision_time,valid_observations,unique_sessions,unique_symbols,mean_target_return,median_target_return,signed_top_minus_bottom_spread,spearman_correlation,preserves_expected_direction,minimum_sample_status
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,14:30,80585,1665,156,1.6077563486760482e-05,9.907822459354065e-06,0.0001088911885744892,0.022947135035275547,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,14:35,80585,1665,156,1.5626676031388342e-05,6.2924050325818826e-06,-6.085005952627398e-05,-0.015399875635779024,False,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,14:40,80585,1665,156,1.7445934645365924e-05,3.2623665902065113e-06,-1.9338838683324866e-05,0.0037377362180936943,False,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,14:45,80585,1665,156,-1.3818980448832008e-07,-1.913947698994889e-06,6.825361924711615e-05,0.016633084072513928,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,14:50,80585,1665,156,-1.538564720249269e-05,-9.276966920879204e-06,1.6599557056906633e-05,-0.0071091189015413956,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,14:55,80585,1665,156,-1.0369270967203192e-05,-1.428903760825051e-05,0.00010642480629030615,0.015330261578447366,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:00,80585,1665,156,1.2870379578089342e-05,7.921175892988686e-06,0.00010514345194678754,0.02779925060807662,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:05,80585,1665,156,9.441708243684843e-06,9.020561265060678e-06,-5.244056592346169e-05,-0.016019549261674943,False,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:10,80585,1665,156,-4.699916644312907e-06,-2.6344898742536316e-06,-7.318569259950891e-05,-0.01454814595102904,False,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:15,80585,1665,156,-1.3044280422036536e-05,-5.6825792853487656e-06,5.323128425516188e-05,0.017251455975600023,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:20,80585,1665,156,-4.568433269014349e-06,-5.037512096350838e-07,3.86358005926013e-05,0.003302259958507187,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:25,80585,1665,156,-2.6901579985860735e-06,-3.7757627069368027e-07,3.2186511816689745e-05,0.008407336042749609,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:30,80585,1665,156,1.239415450982051e-05,2.3713007522019325e-06,0.0001017158865579404,0.0152379118575399,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:35,80585,1665,156,-2.1036667021689937e-05,-1.2764081702698604e-06,3.2327261578757316e-06,-0.0035998718293540188,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:40,80585,1665,156,-5.182815584703349e-06,2.553847480157856e-06,5.043316923547536e-05,0.007088165281594088,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:45,80585,1665,156,7.530337029493239e-07,3.2989876217470737e-06,3.4751159546431154e-05,-0.0041673814081223505,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:50,80585,1665,156,-5.421411515271757e-06,-7.558653578598751e-06,4.140494274906814e-05,0.011410494493454642,True,sufficient
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,15:55,80585,1665,156,-7.690699931117706e-06,7.863545192776655e-07,0.00035296802525408566,0.058452260767795035,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,11:35,81287,1679,156,-7.250904445754713e-07,-1.4598736925108824e-05,8.242687908932567e-05,0.019803094704624956,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,11:40,81287,1679,156,-6.7147861955163535e-06,-6.379493697750149e-06,7.42975389584899e-05,0.004655137539880411,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,11:45,81287,1679,156,1.3312776900420431e-05,-1.7700697299005697e-06,7.158779771998525e-05,0.02171808512893357,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,11:50,81287,1679,156,-2.4798910089884885e-06,-2.9469301807694137e-06,5.8524856285657734e-05,0.017819472652462413,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,11:55,81287,1679,156,1.1707400517479982e-05,-2.8142851533630164e-06,5.495355071616359e-05,0.00998038832051301,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:00,81287,1679,156,-1.6699809748388361e-06,-5.985605184832821e-07,3.2097113944473676e-06,0.006504183100305991,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:05,81287,1679,156,7.314684353332268e-06,4.188586899545044e-06,6.379415572155267e-05,0.012863157286293024,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:10,81287,1679,156,1.6347776181646623e-05,-1.3180502378418169e-07,1.382789560011588e-05,0.005995150285245176,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:15,81287,1679,156,-3.7377751596068265e-06,-9.15502187126549e-06,-1.4390934666153044e-06,0.004813181114614269,False,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:20,81287,1679,156,3.369520884533017e-09,8.839764404910966e-07,7.441812340402976e-05,0.028203607801970263,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:25,81287,1679,156,-3.6037881727679633e-06,-1.6875753772183089e-06,5.431639510788955e-05,0.007804133000683527,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:30,81287,1679,156,1.2244921890669502e-05,1.3291592040332034e-06,5.4598487622570246e-05,0.016062332513927285,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:35,81287,1679,156,-8.292279744637199e-06,-6.5174281189683825e-06,1.3865719665773213e-06,0.0034191874759101383,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:40,81287,1679,156,-5.392736511566909e-06,-6.69722976454068e-06,2.3391819922835566e-05,0.009858457703116273,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:45,81287,1679,156,-8.144730600179173e-06,-5.830490408698097e-06,2.7781912649516016e-05,0.012208742134468566,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:50,81287,1679,156,-1.002474073175108e-05,-8.822755262372084e-06,6.408238550648093e-05,0.028073398362170394,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,12:55,81287,1679,156,1.941909249580931e-05,8.495677320752293e-06,-3.589737752918154e-05,0.003960294865557007,False,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,13:00,80585,1665,156,-4.850626851293782e-07,-9.104827768169343e-06,5.713873542845249e-05,0.01806656856459001,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,13:05,80585,1665,156,-7.486420145141892e-06,-5.2024138312845025e-06,7.493177690776065e-05,0.018543756906410747,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,13:10,80585,1665,156,-4.534212621365441e-06,3.2826042115630116e-06,1.2279673683224246e-05,0.013138848942666004,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,13:15,80585,1665,156,5.113292900205124e-06,-4.4329840420687106e-06,0.00011802789231296629,0.02022796609687515,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,13:20,80585,1665,156,-1.9046414934109634e-07,-8.682495717948768e-06,-1.7128775652963668e-05,0.007839679510050235,False,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,13:25,80585,1665,156,1.5824840374989435e-05,3.0547784035661607e-07,5.0372131227049977e-05,0.01065360665891607,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,13:30,80585,1665,156,-9.759285603649914e-06,-1.7387726984452456e-05,8.879437518771738e-05,0.017644495251162132,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,13:35,80585,1665,156,3.982334874308435e-06,7.028753771010088e-06,2.5427478249184787e-05,0.01102901297526747,True,sufficient
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,-1,13:40,80585,1665,156,-6.603227120649535e-07,5.643799454446707e-07,2.1501036826521158e-05,0.006454790606655456,True,sufficient
