name,description,horizon_minutes,entry_definition,exit_definition,classification,overlaps,tier,price_basis
fwd_return_5m,Raw return over next 5 minutes,5.0,first bar open at/after decision availability,first close at/after entry plus 5 minutes,raw,True,primary,raw_execution_price
fwd_return_10m,Raw return over next 10 minutes,10.0,first bar open at/after decision availability,first close at/after entry plus 10 minutes,raw,True,exploratory,raw_execution_price
fwd_return_15m,Raw return over next 15 minutes,15.0,first bar open at/after decision availability,first close at/after entry plus 15 minutes,raw,True,primary,raw_execution_price
fwd_return_20m,Raw return over next 20 minutes,20.0,first bar open at/after decision availability,first close at/after entry plus 20 minutes,raw,True,exploratory,raw_execution_price
fwd_return_25m,Raw return over next 25 minutes,25.0,first bar open at/after decision availability,first close at/after entry plus 25 minutes,raw,True,exploratory,raw_execution_price
fwd_return_30m,Raw return over next 30 minutes,30.0,first bar open at/after decision availability,first close at/after entry plus 30 minutes,raw,True,primary,raw_execution_price
fwd_return_35m,Raw return over next 35 minutes,35.0,first bar open at/after decision availability,first close at/after entry plus 35 minutes,raw,True,exploratory,raw_execution_price
fwd_return_40m,Raw return over next 40 minutes,40.0,first bar open at/after decision availability,first close at/after entry plus 40 minutes,raw,True,exploratory,raw_execution_price
fwd_return_45m,Raw return over next 45 minutes,45.0,first bar open at/after decision availability,first close at/after entry plus 45 minutes,raw,True,exploratory,raw_execution_price
fwd_return_50m,Raw return over next 50 minutes,50.0,first bar open at/after decision availability,first close at/after entry plus 50 minutes,raw,True,exploratory,raw_execution_price
fwd_return_55m,Raw return over next 55 minutes,55.0,first bar open at/after decision availability,first close at/after entry plus 55 minutes,raw,True,exploratory,raw_execution_price
fwd_return_60m,Raw return over next 60 minutes,60.0,first bar open at/after decision availability,first close at/after entry plus 60 minutes,raw,True,primary,raw_execution_price
fwd_return_65m,Raw return over next 65 minutes,65.0,first bar open at/after decision availability,first close at/after entry plus 65 minutes,raw,True,exploratory,raw_execution_price
fwd_return_70m,Raw return over next 70 minutes,70.0,first bar open at/after decision availability,first close at/after entry plus 70 minutes,raw,True,exploratory,raw_execution_price
fwd_return_75m,Raw return over next 75 minutes,75.0,first bar open at/after decision availability,first close at/after entry plus 75 minutes,raw,True,exploratory,raw_execution_price
fwd_return_80m,Raw return over next 80 minutes,80.0,first bar open at/after decision availability,first close at/after entry plus 80 minutes,raw,True,exploratory,raw_execution_price
