candidate_id,feature,target,expected_direction,regime_type,regime_bucket,valid_observations,unique_sessions,unique_symbols,mean_target_return,median_target_return,signed_top_minus_bottom_spread,spearman_correlation,preserves_expected_direction,minimum_sample_status,effect_to_full_ratio
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,market_breadth,strong_breadth,712914.0,1665.0,156.0,7.90143803897081e-06,8.947392302616208e-07,4.4374501158017665e-05,0.008866599835125891,True,sufficient,0.8852249884643817
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,market_breadth,weak_breadth,737616.0,1665.0,156.0,-8.250601240433753e-06,-8.526587862434098e-07,5.608328865491785e-05,0.008428981956026758,True,sufficient,1.1188030796290778
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,cross_sectional_dispersion,high_dispersion,823186.0,1650.0,156.0,-1.8471912426321069e-06,-1.7252087900487822e-06,6.72666501486674e-05,0.010534429887934075,True,sufficient,1.3418994703703344
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,cross_sectional_dispersion,low_dispersion,623340.0,1521.0,155.0,1.932992063302663e-06,1.8056509816233302e-06,2.8720802220050246e-05,0.006198093714569166,True,sufficient,0.5729500309963044
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,trend_state,range_bound,392508.0,867.0,153.0,3.467038425242208e-07,0.0,3.419650602154434e-05,0.006098678567280399,True,sufficient,0.6821846073411963
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,trend_state,trending_down,461916.0,723.0,152.0,-7.870199624449015e-06,-2.0354389107524185e-06,7.032019493635744e-05,0.011421009645728397,True,sufficient,1.402814502177289
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,trend_state,trending_up,596106.0,878.0,152.0,5.110763595439494e-06,1.1041115612897556e-06,4.516336048254743e-05,0.008111683966898237,True,sufficient,0.9009619087278945
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,gap_direction,flat_gap,65016.0,69.0,118.0,1.115879240387585e-05,1.0034791557700373e-05,1.7838767234934494e-05,0.00733640486177598,True,insufficient_data,0.35586478963517254
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,gap_direction,gap_down,82062.0,78.0,127.0,-2.503846872059512e-06,5.841211077495245e-06,3.7163927117944695e-06,-0.0009169267537838123,True,insufficient_data,0.07413815613863992
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,-1,gap_direction,gap_up,1303452.0,1518.0,155.0,-7.462943472091865e-07,-4.4034385382474284e-07,5.5508269724668935e-05,0.009368438601997826,True,sufficient,1.107332052065663
